Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
RC-1 - Sekhmet Statue,Egyptian,,332-30 BCE,Ptolemaic,Bronze,Sculpture,789.jpg
RC-2 - Harpocrates,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,931.jpg
RC-3 - Osiris,Egyptian,,332 - 31 BCE,Ptolemaic,Bronze,Sculpture,365.jpg
RC-4 - Khonsu,Egyptian,,332 - 30 BCE,Ptolemaic,Bronze,Sculpture,774.jpg
RC-5 - Apis Bull,Egyptian,,525 - 343 BCE,Late Period,Bronze,Sculpture,913.jpg
RC-6 - Bast Cat,Egyptian,,332-31 BCE,Ptolemaic,Bronze,Sculpture,932.jpg
RC-7 - Horus Hawk on Sarcophagus,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,399.jpg
RC-9 - Striding Young Horus,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Bronze,Sculpture,933.jpg
RC-10 - Uraeus,Egyptian,21-25th,1070-656 BCE,3rd Intermediate,Bronze,Sculpture,711.jpg
RC-12 - Isis Nursing Horus,Egyptian,,305 BCE - 323 CE,Ptolemaic To Roman,Marble,Sculpture,803.jpg
RC-14 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,763.jpg
RC-15 - Pitcher/ Vase,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Banded Calcite,Vessels,934.jpg
RC-16 - Mirror/ Dancing Girl Handle,Egyptian,18TH,1570-1293 BCE,New Kingdom,Bronze,Toiletries,715.jpg
RC-17 - Headrest,Egyptian,3 - 6TH,2705-2250 BCE,Old Kingdom,Wood,Furniture,72.jpg
RC-18 - Horus Hawk with Figure,Egyptian,,664 - 30 BCE,,Granite,Sculpture,756.jpg
RC-19 - Canopic Jar and Lid,Egyptian,18TH ?,1570 - 1293 BCE ?,New Kingdom ?,Limestone,Vessels,280.jpg
RC-22 - Mummy of a Child,Egyptian,,Roman Period,Roman Period,human mummy,Funerary,443.jpg
RC-26 - Kohl Jar,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Banded Calcite,Toiletries,421.jpg
RC-28 - Crocodile Lamp,Egyptian,,31 BCE - 395 CE,Ptolemaic-Roman,Bronze,Lamps,1031.jpg
RC-29 - Wadjet Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,456.jpg
RC-30 - Wadjet Amulet,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate,Faience,Amulets,404.jpg
RC-41 - Ankh Amulet,Egyptian,,332-31 BCE,Ptolemaic,Faience,Amulets,355.jpg
RC-42 - Ankh Amulet,Egyptian,,332-31 BCE,Ptolemaic,Faience,Amulets,632.jpg
RC-45 - Uatch Amulet,Egyptian,,305 - 30 BCE,Ptolemaic,Faience,Amulets,883.jpg
RC-46 - Uatch Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,376.jpg
RC-48 - Uatch Amulet,Egyptian,26TH ?,664  - 525 BCE ?,3rd Intermediate,Faience,Amulets,687.jpg
RC-49 - Uatch Amulet,Egyptian,,305 - 30 BCE ?,Ptolemaic ?,Faience,Amulets,462.jpg
RC-50 - Djed Amulet,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate ?,Faience,Amulets,853.jpg
RC-54 - Headrest Amulet,Egyptian,26TH TO ?,664 BCE - ?,3rd Intermediate,Hematite,Amulets,213.jpg
RC-57 - Frog Amulet,Egyptian,18 - 26TH,1570 - 525 BCE,New Kingdom - 3rd in,Stone,Amulets,140.jpg
RC-64 - Hathor Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,550.jpg
RC-65 - Khonsu Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,478.jpg
RC-66 - Seated Sekhmet Amulet,Egyptian,26TH TO ?,664 BCE TO ?,3rd Intermediate,Faience,Amulets,92.jpg
RC-68 - Ape Game Piece/ Amulet,Egyptian,18 - 30ST,1570 - 323 BCE,New Kingdom To Late,Limestone,Toys/Games,768.jpg
RC-69 - Horus Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,935.jpg
RC-70 - Seated Ptah,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Stone,Sculpture,782.jpg
RC-72 - Bast Cat,Egyptian,26TH-PTOLEMAIC,664-30 BCE,3rd Int. - Ptolemaic,Bronze,Sculpture,936.jpg
RC-73 - Priest Head,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Stone,Sculpture,937.jpg
RC-74 - Pharaoh Head,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Marble,Sculpture,829.jpg
RC-78 - Ring Mold,Egyptian,18TH,1550 BCE,New Kingdom,Terracotta,Tools,564.jpg
RC-79 - Ankh Mold,Egyptian,18TH ?,1570 - 1293 BCE,New Kingdom,Clay,Tools,905.jpg
RC-81 - Winged Heart Scarab,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Faience,Amulets,191.jpg
RC-82 - Winged Heart Scarab,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate,Faience,Amulets,268.jpg
RC-91 - Necklace/ Five Strand,Egyptian,27 - 31ST,525 BCE - 30 BCE,Late Period To Ptole,Faience,Jewelry,784.jpg
RC-95 - Necklace,Egyptian,12TH ?,1991-1784 BCE,Middle Kingdom,Faience,Jewelry,811.jpg
RC-96 - Cat,Egyptian,26TH,664 - 525 BCE,Saite,Wood,Sculpture,938.jpg
RC-97 - Stele,Egyptian,18TH,1501 - 1479 BCE,New Kingdom,Wood,Funerary,323.jpg
RC-98 - Bird Mummy with Cartonnage,Egyptian,,305 BCE - 323 CE,Ptolemaic-Roman,Animal Remains,Funerary,836.jpg
RC-100 - Hawk,Egyptian,,332 BCE - 395 CE,Ptolemaic To Roman,Wood,Sculpture,311.jpg
RC-101 - Mask,Egyptian,,332-31 BCE,Ptolemaic,Cartonnage,Funerary,512.jpg
RC-102 - Funerary mask from Sais,Egyptian,,Greco-Roman,Greco-Roman,Cartonnage,Funerary,205.jpg
RC-104 - Panel,Egyptian,26TH,685-525 BCE,Saite Period,Wood,Funerary,822.jpg
RC-105 - Kohl Jar,Egyptian,18TH ?,1570 - 1293 BCE,New Kingdom,Serpentine,Toiletries,222.jpg
RC-109 - Ptah,Egyptian,,664 - 525 BCE,,Bronze,Sculpture,85.jpg
RC-110 - Ointment Jar,Egyptian,,,,Banded Calcite,Toiletries,939.jpg
RC-111 - Hapi/ Son of Horus,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Wood,Sculpture,940.jpg
RC-112 - Sekhmet/ Upper Part,Egyptian,,332 BCE - 395 CE,Greco-Roman,Faience,Sculpture,797.jpg
RC-114 - Knife Blade,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Tools,446.jpg
RC-118 - Mummy Eye,Egyptian,27-31ST,525-332 BCE,Late Period,Glass,Funerary,602.jpg
RC-119 - Mehit Aegis,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,597.jpg
RC-120 - Min Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Bronze,Amulets,543.jpg
RC-121 - Mirror/Without Handle,Egyptian,,1570 - 1070 BCE,New Kingdom,Bronze,Toiletries,846.jpg
RC-122 - Sandal/Left,Egyptian,27 - 31ST,525 - 404 BCE,Late Period,Reed,Toiletries,220.jpg
RC-123 - Ba,Egyptian,,30 BCE - 395 CE,,Wood,Sculpture,405.jpg
RC-124 - Anubis Jackal,Egyptian,,305 - 30 BCE,Late Period,Wood,Sculpture,375.jpg
RC-126 - Shawabti,Egyptian,20TH,1185 - 1070 BCE,New Kingdom,Terracotta,Ritual Objects,144.jpg
