date,date_binary
1stc-3rdc,ad
1stc bc-early 1stc,bc
1stc bc-early 1stc,bc
1stc bc-early 1stc,bc
1stc-3rdc,ad
1stc-3rdc,ad
2ndc,ad
1stc-3rdc,ad
17thc,ad
1stc bc-early 1stc,bc
1800-1870,ad
1stc bc-early 1stc,bc
1800-1870,ad
1stc bc-early 1stc,bc
4thc bc-2ndc bc,bc
600bc-200bc,bc
16thc,ad
1800-1870,ad
17thc,ad
1800-1870,ad
17thc,ad
600bc-200bc,bc
1stc bc-1stc ad,bc
10thc-12thc,ad
1stc bc-1stc ad,bc
1stc bc-early 1stc,bc
4thc bc-2ndc bc,bc
600bc-200bc,bc
600bc-200bc,bc
1829,ad
4thc bc-2ndc bc,bc
1829,ad
1912-1913,ad
4thc bc-2ndc bc,bc
1912-1913,ad
4thc bc-2ndc bc,bc
20thc,ad
1974,ad
20thc,ad
600bc-200bc,bc
1800-1857,ad
1800-1876,ad
1800-1857,ad
1800-1857,ad
1800-1877,ad
1912-1913,ad
1800-1877,ad
1800-1835,ad
1800-1897,ad
,unknown
,unknown
1800-1835,ad
97-117,ad
235-238,ad
1860-1877,ad
253-268,ad
286-308,ad
253-268,ad
81-96,ad
81-96,ad
81-96,ad
81-96,ad
81-96,ad
253-260,ad
1800-1897,ad
81-96,ad
,unknown
235-238,ad
235-238,ad
97-117,ad
117-138,ad
81-96,ad
253-268,ad
117-138,ad
138-161,ad
81-96,ad
138-161,ad
138-161,ad
81-96,ad
161-180,ad
117-138,ad
253-258,ad
270,ad
97-117,ad
270-275,ad
270-275,ad
,unknown
276-282,ad
97-117,ad
276-282,ad
117-138,ad
276-282,ad
276-282,ad
276-282,ad
138-161,ad
14-37,ad
276-282,ad
284-305,ad
284-305,ad
276-282,ad
284-305,ad
284-305,ad
284-305,ad
286-308,ad
284-305,ad
284-305,ad
286-308,ad
284-305,ad
284-305,ad
286-308,ad
286-308,ad
286-308,ad
284-305,ad
276-282,ad
286-308,ad
14-37,ad
150bc-149bc,bc
9,ad
12,ad
14-37,ad
12,ad
19,ad
286-308,ad
9,ad
80bc,bc
41-54,ad
,unknown
9,ad
41-54,ad
41-54,ad
80bc,bc
54-68,ad
41-54,ad
41-54,ad
41-54,ad
9,ad
41-54,ad
27bc-14,bc
41-54,ad
41-54,ad
27bc-14,bc
69-79,ad
69-79,ad
69-79,ad
69-79,ad
69-79,ad
27bc-14,bc
27bc-14,bc
27bc-14,bc
41-54,ad
,unknown
293-311,ad
54-68,ad
,unknown
282-284,ad
282-284,ad
282-284,ad
69-79,ad
69-79,ad
54-68,ad
284-305,ad
284-305,ad
284-305,ad
282-284,ad
284-305,ad
284-305,ad
284-305,ad
282-284,ad
284-305,ad
284-305,ad
284-305,ad
284-305,ad
284-305,ad
286-308,ad
284-305,ad
284-305,ad
,unknown
284-305,ad
286-308,ad
286-308,ad
284-305,ad
286-308,ad
286-308,ad
284-305,ad
286-308,ad
284-305,ad
286-308,ad
286-308,ad
286-308,ad
286-308,ad
286-308,ad
284-305,ad
286-308,ad
276-282,ad
286-308,ad
270-275,ad
286-308,ad
293-306,ad
286-308,ad
284-305,ad
276-282,ad
286-308,ad
286-308,ad
276-282,ad
276-282,ad
286-308,ad
270-275,ad
,unknown
286-308,ad
,unknown
,unknown
293-306,ad
,unknown
286-308,ad
,unknown
,unknown
117-138,ad
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
138-161,ad
,unknown
,unknown
,unknown
,unknown
,unknown
68-69,ad
138-161,ad
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
24,ad
9,ad
,unknown
,unknown
,unknown
,unknown
,unknown
97-117,ad
97-117,ad
97-117,ad
117-138,ad
,unknown
9,ad
138-161,ad
180-192,ad
222-235,ad
253-268,ad
,unknown
138-161,ad
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
97-117,ad
,unknown
102,ad
,unknown
,unknown
205bc-180bc,bc
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
8,ad
137bc-136bc,bc
108bc-107bc,bc
14,ad
110bc-109bc,bc
3,ad
8,ad
3,ad
137bc-136bc,bc
,unknown
28,ad
110bc-109bc,bc
,unknown
,unknown
189bc-180bc,bc
,unknown
69-79,ad
81-96,ad
81-96,ad
81-96,ad
81-96,ad
180-192,ad
61bc,bc
81-96,ad
42bc,bc
44bc,bc
44bc,bc
42bc,bc
130-138,ad
,unknown
81-96,ad
,unknown
31bc,bc
41-54,ad
81-96,ad
,unknown
138-161,ad
138-161,ad
97-117,ad
,unknown
81-96,ad
130-138,ad
97-117,ad
97-117,ad
138-161,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
138-161,ad
97-117,ad
117-138,ad
138-161,ad
161-169,ad
138-161,ad
117-138,ad
138-161,ad
97-117,ad
117-138,ad
161-169,ad
138-161,ad
97-117,ad
117-138,ad
117-138,ad
117-138,ad
117-138,ad
138-161,ad
117-138,ad
138-161,ad
138-161,ad
244-249,ad
,unknown
180-192,ad
138-161,ad
,unknown
138-161,ad
54-68,ad
69-79,ad
54-68,ad
117-138,ad
68-69,ad
81-96,ad
54-68,ad
81-96,ad
97-117,ad
117-138,ad
117-138,ad
117-138,ad
117-138,ad
138-161,ad
117-138,ad
222-235,ad
222-235,ad
138-161,ad
69,ad
81-96,ad
222-235,ad
81-96,ad
54-68,ad
222-235,ad
97-117,ad
69-79,ad
69-79,ad
69-79,ad
97-117,ad
97-117,ad
97-117,ad
69-79,ad
138-161,ad
161-180,ad
117-138,ad
69-79,ad
138-161,ad
138-161,ad
235-238,ad
117-138,ad
138-161,ad
69-79,ad
,unknown
249-251,ad
238-244,ad
238-244,ad
249-251,ad
238-244,ad
238-244,ad
238-244,ad
222-235,ad
117-138,ad
54-68,ad
282-283,ad
,unknown
244-249,ad
251-253,ad
251-253,ad
282-284,ad
249-251,ad
,unknown
253-268,ad
244-249,ad
253-268,ad
270-275,ad
282-284,ad
,unknown
268-270,ad
249-251,ad
253-268,ad
253-258,ad
,unknown
235-238,ad
238-244,ad
238-244,ad
238-244,ad
238-244,ad
244-249,ad
,unknown
218-222,ad
235-238,ad
161-180,ad
138-161,ad
,unknown
180-192,ad
97-117,ad
,unknown
238-244,ad
,unknown
253-268,ad
253-268,ad
235-238,ad
244-249,ad
253-268,ad
253-268,ad
161-180,ad
180-192,ad
268-270,ad
282-283,ad
,unknown
253-268,ad
270-275,ad
238,ad
238,ad
253-268,ad
222-235,ad
51bc-30bc,bc
193,ad
,unknown
159bc-158bc,bc
253-268,ad
122bc,bc
,unknown
,unknown
270-275,ad
,unknown
205bc-180bc,bc
,unknown
117bc,bc
253-268,ad
31,ad
21,ad
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
36,ad
35,ad
33,ad
32,ad
31,ad
30,ad
25,ad
28,ad
25,ad
,unknown
32,ad
,unknown
25,ad
30,ad
29,ad
,unknown
29,ad
29,ad
27,ad
25,ad
,unknown
,unknown
35,ad
34,ad
34,ad
34,ad
27,ad
34,ad
35,ad
29,ad
33,ad
32,ad
32,ad
32,ad
32,ad
30,ad
30,ad
,unknown
30,ad
24,ad
22,ad
32,ad
,unknown
,unknown
,unknown
,unknown
30,ad
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
97-117,ad
97-117,ad
97-117,ad
,unknown
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
117-138,ad
138-161,ad
138-161,ad
138-161,ad
97-117,ad
138-161,ad
161-180,ad
138-161,ad
97-117,ad
,unknown
,unknown
222-235,ad
222-235,ad
222-235,ad
222-235,ad
138-161,ad
162bc-161bc,bc
31,ad
153bc-152bc,bc
152bc-151bc,bc
149bc-148bc,bc
222-235,ad
14-37,ad
222-235,ad
69,ad
81-96,ad
81-96,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
97-117,ad
,unknown
97-117,ad
97-117,ad
969,ad
972-3,ad
1035-1094,ad
156-157,ad
136-138,ad
180-192,ad
32,ad
97-117,ad
,unknown
10,ad
12,ad
117-138,ad
117-138,ad
10,ad
117-138,ad
138-161,ad
136-138,ad
138-161,ad
138-161,ad
161-180,ad
244-249,ad
,unknown
,unknown
161-180,ad
8,ad
14,ad
106bc-105bc,bc
54,ad
8,ad
,unknown
,unknown
,unknown
,unknown
8,ad
,unknown
,unknown
117-138,ad
54-68,ad
54-68,ad
14,ad
117-138,ad
218-222,ad
218-222,ad
,unknown
222-235,ad
235-238,ad
244-249,ad
253-268,ad
69,ad
,unknown
218-222,ad
,unknown
117-138,ad
,unknown
97-117,ad
244-249,ad
117-138,ad
117-138,ad
,unknown
117-138,ad
,unknown
138-161,ad
,unknown
97-117,ad
138-161,ad
138-161,ad
,unknown
97-117,ad
,unknown
,unknown
,unknown
,unknown
,unknown
138-161,ad
,unknown
,unknown
,unknown
434-533,ad
434-533,ad
434-533,ad
,unknown
,unknown
434-533,ad
434-533,ad
,unknown
434-533,ad
,unknown
434-533,ad
434-533,ad
mid 5thc,ad
mid 5thc,ad
,unknown
,unknown
,unknown
,unknown
,unknown
,unknown
912,ad
364-375,ad
715,ad
