,date,date_regression
0,1stc-3rdc,50.5
1,1stc bc-early 1stc,-50.5
2,1stc bc-early 1stc,-50.5
3,1stc bc-early 1stc,-50.5
4,1stc-3rdc,50.5
5,1stc-3rdc,50.5
6,2ndc,150.5
7,1stc-3rdc,50.5
8,17thc,1650.5
9,1stc bc-early 1stc,-50.5
10,1800-1870,1835.0
11,1stc bc-early 1stc,-50.5
12,1800-1870,1835.0
13,1stc bc-early 1stc,-50.5
14,4thc bc-2ndc bc,-250.5
15,600bc-200bc,-400.0
16,16thc,1550.5
17,1800-1870,1835.0
18,17thc,1650.5
19,1800-1870,1835.0
20,17thc,1650.5
21,600bc-200bc,-400.0
22,1stc bc-1stc ad,-50.5
23,10thc-12thc,1050.5
24,1stc bc-1stc ad,-50.5
25,1stc bc-early 1stc,-50.5
26,4thc bc-2ndc bc,-250.5
27,600bc-200bc,-400.0
28,600bc-200bc,-400.0
29,1829,1829.0
30,4thc bc-2ndc bc,-250.5
31,1829,1829.0
32,1912-1913,1912.5
33,4thc bc-2ndc bc,-250.5
34,1912-1913,1912.5
35,4thc bc-2ndc bc,-250.5
36,20thc,1950.5
37,1974,1974.0
38,20thc,1950.5
39,600bc-200bc,-400.0
40,1800-1857,1828.5
41,1800-1876,1838.0
42,1800-1857,1828.5
43,1800-1857,1828.5
44,1800-1877,1838.5
45,1912-1913,1912.5
46,1800-1877,1838.5
47,1800-1835,1817.5
48,1800-1897,1848.5
49,,
50,,
51,1800-1835,1817.5
52,97-117,107.0
53,235-238,236.5
54,1860-1877,1868.5
55,253-268,260.5
56,286-308,297.0
57,253-268,260.5
58,81-96,88.5
59,81-96,88.5
60,81-96,88.5
61,81-96,88.5
62,81-96,88.5
63,253-260,256.5
64,1800-1897,1848.5
65,81-96,88.5
66,,
67,235-238,236.5
68,235-238,236.5
69,97-117,107.0
70,117-138,127.5
71,81-96,88.5
72,253-268,260.5
73,117-138,127.5
74,138-161,149.5
75,81-96,88.5
76,138-161,149.5
77,138-161,149.5
78,81-96,88.5
79,161-180,170.5
80,117-138,127.5
81,253-258,255.5
82,270,270.0
83,97-117,107.0
84,270-275,272.5
85,270-275,272.5
86,,
87,276-282,279.0
88,97-117,107.0
89,276-282,279.0
90,117-138,127.5
91,276-282,279.0
92,276-282,279.0
93,276-282,279.0
94,138-161,149.5
95,14-37,25.5
96,276-282,279.0
97,284-305,294.5
98,284-305,294.5
99,276-282,279.0
100,284-305,294.5
101,284-305,294.5
102,284-305,294.5
103,286-308,297.0
104,284-305,294.5
105,284-305,294.5
106,286-308,297.0
107,284-305,294.5
108,284-305,294.5
109,286-308,297.0
110,286-308,297.0
111,286-308,297.0
112,284-305,294.5
113,276-282,279.0
114,286-308,297.0
115,14-37,25.5
116,150bc-149bc,-149.5
117,9,9.0
118,12,12.0
119,14-37,25.5
120,12,12.0
121,19,19.0
122,286-308,297.0
123,9,9.0
124,80bc,-80.0
125,41-54,47.5
126,,
127,9,9.0
128,41-54,47.5
129,41-54,47.5
130,80bc,-80.0
131,54-68,61.0
132,41-54,47.5
133,41-54,47.5
134,41-54,47.5
135,9,9.0
136,41-54,47.5
137,27bc-14,-20.5
138,41-54,47.5
139,41-54,47.5
140,27bc-14,-20.5
141,69-79,74.0
142,69-79,74.0
143,69-79,74.0
144,69-79,74.0
145,69-79,74.0
146,27bc-14,-20.5
147,27bc-14,-20.5
148,27bc-14,-20.5
149,41-54,47.5
150,,
151,293-311,302.0
152,54-68,61.0
153,,
154,282-284,283.0
155,282-284,283.0
156,282-284,283.0
157,69-79,74.0
158,69-79,74.0
159,54-68,61.0
160,284-305,294.5
161,284-305,294.5
162,284-305,294.5
163,282-284,283.0
164,284-305,294.5
165,284-305,294.5
166,284-305,294.5
167,282-284,283.0
168,284-305,294.5
169,284-305,294.5
170,284-305,294.5
171,284-305,294.5
172,284-305,294.5
173,286-308,297.0
174,284-305,294.5
175,284-305,294.5
176,,
177,284-305,294.5
178,286-308,297.0
179,286-308,297.0
180,284-305,294.5
181,286-308,297.0
182,286-308,297.0
183,284-305,294.5
184,286-308,297.0
185,284-305,294.5
186,286-308,297.0
187,286-308,297.0
188,286-308,297.0
189,286-308,297.0
190,286-308,297.0
191,284-305,294.5
192,286-308,297.0
193,276-282,279.0
194,286-308,297.0
195,270-275,272.5
196,286-308,297.0
197,293-306,299.5
198,286-308,297.0
199,284-305,294.5
200,276-282,279.0
201,286-308,297.0
202,286-308,297.0
203,276-282,279.0
204,276-282,279.0
205,286-308,297.0
206,270-275,272.5
207,,
208,286-308,297.0
209,,
210,,
211,293-306,299.5
212,,
213,286-308,297.0
214,,
215,,
216,117-138,127.5
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
