date,count
1390-1352 bc,1039
6500bc-6000bc,777
1479-1458 bc,768
600 bc-570 bc,657
575bc-550bc,610
1981-1640 bc,552
6thc bc,542
610bc-580bc,535
1550-1295 bc,484
117-138,476
600bc-550bc,472
570bc-560bc,471
2030-1640 bc,430
138-161,427
600bc-570bc,408
1353-1336 bc,398
990-970 bc,397
14th-15th century,383
3rd-4th century,365
1295-1070 bc,364
1981-1975 bc,362
7thc-8thc,358
6thc-8thc,346
664-30 bc,334
5th-6th century,330
1050 bc,302
1802,293
550bc-525bc,290
664-610 bc,289
630bc-600bc,272
6th-7th century,248
3rdc bc-1stc bc,244
664-332 bc,243
14thc,242
620 bc-31 bc,242
97-117,239
3rdc bc-2ndc bc,238
4th-5th century,215
580bc-570bc,212
600bc-575bc,209
580bc-540bc,204
620 bc-300 bc,201
2ndc bc-1stc bc,184
1stc-2ndc,177
222-235,166
595bc-570bc,165
560bc-550bc,165
3850-2960 bc,164
14thc-15thc,163
1830s-1840s,159
1479-1425 bc,155
5th century,154
6thc bc-6thc,154
570bc-530bc,150
664 bc-332 bc,146
1stc bc,144
2ndc,143
4th century,142
1917,140
6thc-7thc,140
244-249,135
1279-1213 bc,135
1492-1473 bc,131
284-305,127
500bc-400bc,127
3rdc bc,126
54-68,126
13th-14th century,125
1stc,122
332bc-250bc,119
286-308,119
305-313,117
1900-1927,115
253-268,115
3rdc,114
20thc,113
580bc-530bc,112
30 bc-ad 364,110
550bc-350bc,109
610bc-570bc,108
332-30 bc,107
300bc-250bc,107
610bc-550bc,103
550 bc-450 bc,102
161-180,101
15thc,100
550bc,100
1850-1640 bc,100
1635-1458 bc,100
500 bc-300 bc,99
1981-1802 bc,99
7thc bc-6thc bc,97
238-244,96
11th century,96
81-96,95
1504-1447 bc,95
5thc-6thc,94
950 bc-930 bc,93
2051-2030 bc,93
600bc-560bc,93
400bc-200bc,92
550bc-400bc,92
6thc bc-4thc bc,91
1961-1917 bc,91
1802-1550 bc,87
100 bc-100 ad,85
180-192,84
350bc-200bc,84
19thc,83
69-79,81
630bc-400bc,81
620bc-550bc,80
300bc-100bc,79
11thc-12thc,78
1981-1550 bc,78
4thc bc-3rdc bc,77
6thc bc early,76
1550-1458 bc,75
"02 june 2006  ,  december 2000",74
4thc bc,74
"10 may 2006  ,  december 2000",73
1867,72
5thc-7thc,72
7thc bc-7thc ad,72
200bc- 30bc,72
270-275,71
560bc-540bc,71
3rd-12th century,71
525bc-330bc,70
10th-12th century,70
5thc bc,70
13thc-14thc,70
1070-664 bc,68
2ndc bc,67
945bc-720bc,67
6thc bc-2ndc bc,67
600bc-580bc,67
540bc-520bc,66
664-525 bc,65
41-54,65
550bc-530bc,64
"09 may 2006  ,  december 2000",64
550bc-500bc,64
620bc-570bc,63
2620-2600 bc,63
620bc-590bc,63
13th-16th century,62
1stc-7thc,62
200bc-50bc,62
235-238,62
2ndc-3rdc,61
27bc-14,60
4thc-5thc,60
7th-8th century,60
580bc-560bc,59
664 bc-525 bc,59
1920s,58
16thc,58
11th-12th century,58
6th century,58
10th century,58
285 bc-246 bc,58
570bc-550bc,58
500bc-450bc,57
1850-1775 bc,57
12th century,57
1802-1450 bc,56
550bc-540bc,56
620bc-600bc,56
560bc-530bc,56
625bc-600bc,55
450bc-400bc,55
14thc bc,55
600 bc-550 bc,55
130-138,54
1336-1327 bc,54
1194-1188 bc,53
308-324,52
1stc bc-1stc,52
1070-945 bc,52
218-222,52
600bc-500bc,52
4thc,52
4thc-6thc,51
276-282,51
7thc bc-4thc bc,51
293-311,51
6thc,50
200bc-1bc,50
675bc-400bc,50
1981-1295 bc,50
14th century,50
1stc-3rdc,49
11thc,49
200-300,49
400-30 bc,49
15th century,48
630bc-450bc,48
10thc-11thc,48
268-270,48
10thc-12thc,47
10th-11th century,47
540bc-530bc,47
500bc-480bc,47
525bc-500bc,47
575bc-565bc,46
300bc-30bc,46
1550-1525 bc,46
620bc-580bc,46
1850-1700 bc,45
1525-1504 bc,45
161-169,45
1640-1550 bc,45
1825-35,44
6thc bc-5thc bc,44
253-260,44
2ndc-4thc,44
1887-1813 bc,42
600-850,42
500bc-250bc,42
610bc-560bc,42
3100-2649 bc,42
1760-1670 bc,42
1070-343 bc,41
180bc-145bc,41
600bc,41
7thc,41
330bc-200bc,41
4thc-7thc,40
480-650,40
500bc-300bc,40
525bc-30bc,39
5thc bc-4thc bc,39
664-380 bc,39
300 bc-250 bc,39
8thc,39
306-337,38
600 bc,38
9th-10th century,37
2ndc- 3rdc,36
304 bc-ad 364,36
4thc bc-1stc bc,36
300bc-200bc,36
1577-1637,36
306-30 bc,36
4th bc-3rd bc,35
1802-1640 bc,35
1352-1336 bc,35
9th century,34
590bc-570bc,34
560bc-520bc,34
1504-1425 bc,34
"31 may 2006  ,  december 2000",34
145bc-116bc,33
1427-1400 bc,33
332bc-323bc,33
530bc-510bc,33
1930s,33
1798,33
600bc-300bc,33
100-600,32
610bc-600bc,32
305-306,32
6c bc,32
1803,32
19thc-20thc,32
15thc bc,32
300bc,32
1550-1425 bc,31
285bc-246bc,31
1920s-1930s,31
14-37,31
5th-7th century,31
400bc-300bc,31
450bc-350bc,31
575bc-560bc,31
400bc-350bc,30
350bc-250bc,30
1597,30
1850bc-1800bc,30
1400-1390 bc,30
1-200,30
600bc-525bc,29
200bc-100bc,29
12thc,29
193-198,29
3rdc-4thc,29
750bc-300bc,29
3100-2900 bc,28
18thc,28
360-300 bc,28
324-361,28
712-30 bc,28
350bc-300bc,28
238,27
1900-1930,27
1750-1753,27
325bc-275bc,27
2649-2100 bc,27
200 bc-100 ad,27
1504-1492 bc,27
2960-2649 bc,27
7thc-10thc,27
8th-9th century,27
1153-1147 bc,27
