dynasty,count
unknown,5420
east greek,5308
late period,4524
roman provincial,3765
dynasty 18,3713
new kingdom,3076
coptic,2763
ptolemaic,2710
hellenistic,2520
attic,1832
greek,1828
18th dynasty,1825
26th dynasty,1472
roman period,1272
archaic greek,1059
roman imperial,998
dynasty 12,955
graeco-roman,935
dynasty 12-13,928
old babylonian,903
dynasty 21,795
samarran,777
19th dynasty,748
roman,704
middle kingdom,635
third intermediate,604
mamluk dynasty,603
21st dynasty,565
classical greek,483
dynasty 26,408
ramesside,403
ancient egypt,394
dynasty 19-20,368
1st dynasty,353
predynastic,340
12th dynasty,321
20th dynasty,317
north ionian,303
fatimid dynasty,295
dynasty 19,294
11th dynasty,266
30th dynasty,243
early byzantine,239
second intermediate,235
meroitic,234
dynasty 11,233
first intermediate,222
badarian,206
dynasty 26-30,198
middle corinthian,187
22nd dynasty,175
late roman,162
cypro-archaic ii,158
cypro-archaic,157
25th dynasty,137
napatan,129
islamic,128
umayyad dynasty,126
6th dynasty,125
ottoman dynasty,107
dynasty 12-18,106
dynasty 13,101
late predynastic,96
dynasty 17-early dynasty 18,92
dynasty 26-29,90
dynasty 1,90
27th dynasty,90
early dynastic,82
dynasty 13-sip,81
18th,80
dynasty 17-18,78
5th dynasty,77
4th dynasty,76
abbasid dynasty,75
2nd dynasty,71
naqada i,66
laconian,65
3rd,64
middle babylonian,64
levantine,63
naqada ii,61
christian,60
late corinthian,60
dynasty 13-18,60
dynasty 20,56
early christian period,55
early corinthian,55
dynasty 2,50
26th,50
dynasty 21-25,49
byzantine,48
mid dynasty 13,47
13th dynasty,46
dynasty 5,46
old kingdom,45
late antique,44
late bronze age,41
late christian period,40
phoenician,40
late dynasty 12-13,39
early islamic,39
pan grave,38
south ionian,38
achaemenid,37
dynasty 25-26,34
kerma classique,32
dynasty 12-17,32
dynasty 30 or later,32
late babylonian,31
dynasty 13-17,30
dynasty 21-30,30
dynasty 6,30
faiyum culture,29
c-group culture,28
vandal,28
3rd dynasty,28
ayyubid dynasty,28
dynasty 25,28
eastern mediterranean,28
17th dynasty,27
late cypriot,27
east greek archaic ii,26
naqada iii,26
neo-assyrian,26
early dynasty 18,25
mid to late dynasty 13,25
hyksos,25
dynasty 4,25
late helladic iiia2,24
cypro-classical,23
late medieval,23
roman republican,22
dynasty 27-30,21
x-group culture,21
dynasty 25-30,21
27 - 31st,21
dynasty 21-26,20
dynasty 22-26,20
middle minoan iia,20
achaemenid dynasty,19
dynasty 18-19,18
a-group culture,18
dynasty 22,17
dynasty 17,17
dynastic,16
late cypriot ii,16
dynasty 8-11,16
kushite,16
late helladic iiia,16
qing dynasty,15
dilmun,15
dynasty 11-18,14
cypriot,14
late dynasty 12-dynasty 13,14
neo-babylonian dynasty,14
dynasty 19-26,14
18 - 20th,14
12th,13
kerma moyen,13
19th,12
dynasty 18-20,12
late dynasty 12-early dynasty 13,12
western greek,12
etruscan,12
dynasty 27,12
original dynasty 18,12
ionian,12
late cypriot iic,11
post-christian,11
dynasty 30,11
naqada,10
dynasty 21-24,10
prehistoric,10
neolithic,10
eastern zhou dynasty,10
ptolemaic dynasty,10
dynasty 14-17,9
middle islamic,9
palaeolithic,9
dynasty 5-6,9
iron age,9
11 - 12th,8
third dynasty of ur,8
classic christian period,8
corinthian,8
late helladic iiib,8
dynasty 11-13,8
nubia and sudan periods and cultures,8
seljuq dynasty,7
dynasty 3-4,7
mycenaean,7
assyrian,7
cypro-archaic i,7
dynasty 6-8,7
kassite,7
safavid dynasty,7
dynasty 20-22,7
akkadian,6
terminal christian period,6
isin-larsa,6
orientalising period,6
dynasty 4-5,6
dynasty 20-21,6
dynasty 26 or later,5
middle minoan ii,5
ancient south arabian,5
dynasty 13 to 1700 b.c.,5
dynasty 15,5
minoan,5
late dynasty 12,5
dynasty 21-22,5
classical world,5
dynasty 20 or later,5
dynasty 6 or later,5
29th dynasty,5
early dynasty 12,5
dynasty 25-early dynasty 26,4
dynasty 11-mid 12,4
dynasty 22-23,4
late cypriot i,4
dynasty 8,4
27 - 30th,4
middle byzantine,4
dynasty 12-early dynasty 18,4
carian,4
east greek archaic i,4
6th,4
late dynasty 13-early dynasty 17,4
late dynasty 21,4
romano-british,4
11th,4
cypro-classical ii,4
23rd dynasty,4
20th,4
18-20th,4
dynasty 11-12,3
late bronze age i,3
aksumite,3
dynasty 9-12,3
dynasty 5-8,3
dynasty 25-early 26,3
late dynasty 18,3
dynasty 15-17,3
mid to end dynasty 12,3
late dynasty 11,3
dynasty 26-27,3
dynasty 12-2nd intermediate period,3
samanid dynasty,3
transitional corinthian,3
cypro-classical i,3
late islamic,3
27-30th,3
seleucid dynasty,3
parthian,3
15th dynasty,3
3 - 6th,3
tulunid dynasty,3
cypro-geometric,3
dynasty 7-10,3
christian period,3
mesolithic,3
dynasty 23,3
late byzantine,3
mid-dynasty 18,3
early dynasty 21,3
persian,3
1 - 2nd,2
late dynasty 13-early dynasty 18,2
dynasty 27 or later,2
dynasty 13-15,2
4th,2
mid to late dynasty 12,2
26 - 30th,2
ptolemy ii,2
dynasty 1-2,2
25 - 26th,2
germanic,2
5th,2
dynasty 13 or later,2
7 - 10th,2
dynasty 21-early dynasty 22,2
11-12th,2
dynasty 3-5,2
18 - 20th to,2
edo period,2
26th to,2
dynasty 17-early 18,2
dynasty 25 or later,2
dynasty 11-17,2
durrani dynasty,2
18,2
19-20,2
dynasty 22-24,2
dynasty 2-3,2
naqada iii-dynasty 1,2
dynasty 24-26,2
28th dynasty,2
mid-dynasty 12,2
east dorian,2
dynasty 3,2
late dynasty 18-early dynasty 19,2
early dynastic ii,2
9th dynasty,2
early predynastic,2
qajar dynasty,2
old assyrian,2
dynasty 19-22,2
dynasty 9-10,2
persian period,2
medieval,2
dynasty 12-dynasty 17,2
late chalcolithic,2
dynasty 6-11,2
late dynasty 17-early dynasty 18,2
ilkhanid dynasty,2
dynasty 14,2
post-medieval,2
26th-ptolemaic,1
8th dynasty,1
jewish,1
18 - 26th,1
18 - 30st,1
timurid dynasty,1
naqada ii-dynasty 1,1
dynasty 12-dynasty 13,1
carolingian,1
1,1
dynasty 8-12,1
27-31st,1
early medieval,1
late-post sasanian,1
showa era,1
21-25th,1
early neolithic,1
dyn. 19 - 20 or later,1
kerma,1
dynasty 0-2,1
dynasty 6-12,1
dynasty 8-9,1
post-meroitic,1
mid dynasty 18-20,1
26,1
middle kingdom  is later than a)),1
dynasty 9-early dnyasty 11,1
26 - 31st,1
dynasty 7-8,1
mid dynasty 21,1
dynasty 2-5,1
early anglo-saxon,1
dynasty 19-20 or later,1
early dynastic iii,1
27 - 30st,1
22nd,1
28th - ptolemaic,1
30th,1
21 - 22 nd,1
- 20th,1
25  - 31st,1
30th to ptolemaic,1
aeolian,1
19-20th,1
research for eighteenth,1
27 - ptolemaic,1
26th - ptolemaic,1
norman,1
ming dynasty,1
5 - 6th,1
21st,1
ptolemy iv,1
ptolemy v,1
marcus aurelius,1
21 - 25th,1
israelite,1
25th,1
5-6th,1
late uruk,1
28th,1
original dynasty 19,1
macedonian dynasty,1
19-26th,1
26-30,1
21,1
1 or 2,1
sasanian,1
4 - 5th,1
13th or 15th,1
11- 12th,1
27th,1
3 - 4th,1
20-26,1
larsa dynasty,1
11 - 12 th,1
late 18th through 20th,1
late dynasty 12 to dynasty 13,1
late anglo-saxon,1
dynasty 12 mid-13,1
middle minoan iii,1
dynasty 9-11,1
dynasty 9 or later,1
late dynasty 12-early  dynasty 13,1
dynasties 18-20,1
late dynasty 12-early 13,1
dynasty 13-2nd intermediate period,1
dynasty 12- 13,1
dynasty 15-18,1
meiji era,1
dynasty 11-early 18,1
dynasty 15-16,1
dynasty 0-1,1
arab-byzantine,1
probably dynasty 1,1
dynasty 2 probably,1
dynasty 26-4th century,1
probably mid-dynasty 18,1
late dynasty 12- dynasty 13,1
toltec,1
first part of dynasty 13,1
mid-dynasty 12 or later,1
late dynasty 17 - early dynasty 18,1
late dynasty 12-dynasty 17,1
late dynasty 12 to early dynasty 13,1
end of  dynasty 12-early dynasty 13,1
