location,count
,15168
unknown,8052
abydos,528
mirgissa,516
deir el-bahari,372
sai island,322
giza necropolis,322
aksha,317
thebes: west bank,310
saqqara necropolis,272
el-`amarna,246
valley of the kings,238
ihnasiya el-madina,230
alexandria,192
el-sheikh `abada,178
akhmim,152
el-faiyum,151
argin:-nag`el arab,137
el-kom el-ahmar,122
lower nubia,118
karnak,115
mit rahina,94
governorate of luxor,93
el-bahnasa,90
begrawiya,85
masmas:-nag`gamus,82
beni hassan,80
deir el-medinah,79
kubaniya,70
tanis,67
gu`ran,66
sidmant el-gabal,65
outside egypt,65
upper nubia,64
el-ashmunein,58
argin:-nag`shayeg,54
tura el-asmant,54
tarkhan,51
argín:-mirmad,50
abkanarti,49
argín:-nelluah,48
el-assasif,46
upper egypt,46
qaw el-kibir,42
governorate of alexandria,40
el-hiba,40
qantir,40
el-riqqeh,38
sheij daud,38
sarabit el-khadim,37
el-badari,36
asiut,36
hiw,34
dira` abu el-naga,34
el-gabalin,33
mir,32
nuri,31
temple of mentuhotep nebhepetre,31
governorate of faiyum,30
tell el-dab`a,30
tantyra,29
faras,28
sheikh `abd el-qurna,27
el-mahasna,27
qushtamna,26
temple of ramesses ii,26
tuna el-gabal,25
ghurab,23
naukratis,23
abu sir,21
masmas:-nag`farkhi,21
lower egypt,20
el-bersha,20
governorate of giza,20
tell basta,17
elkab,17
abu sir el-malaq,17
hawwara,17
el-hammamiya,17
esna,16
el-miniya wal shurafa,16
naqada,15
thebes: east bank,15
abu rauwash,15
tell el-yahudiya,14
sa el-hagar,14
qurnet mura`i,13
qasr el-banat,13
tell atrib,12
kawa,12
abu ghurab,11
girza,11
el-`amrah,11
dahshour,11
maidum,10
kafr `ammar,10
rifa,10
el-lahun,9
armant,9
medinet habu,8
el-lisht,8
umm el-asl,7
el-rubiyat,7
kom ombo,7
temple of hatshepsut,7
elephantine,7
aswan,7
kom abu billo,7
umm el-ga`ab,6
governorate of asiut,6
tell timai,6
governorate of aswan,6
temple of thutmosis ii,5
saft el-hinna,5
mut temple,5
qustul,5
edfu,5
dishasha,5
qalyub,5
kerma,5
heliopolis,5
qift,4
kom el-ahmar,4
kom medinet ghurab,4
nag` el-deir,4
el-haraga,4
tell el-rub`,3
el-matariya,3
tell el-yhudiya,3
batn ihrit,3
tihna el-gabal,3
sanam,3
luxor temple,3
ab`adiyeh,3
naq`a,3
qasr ibrim,3
el-khokha,3
el-mo`alla,3
san el-hagar,3
beit khallaf,3
temple of merenptah,2
aswan and the rest of the governorate,2
mendes,2
governorate of matruh,2
western valley,2
philae,2
kharga oases,2
behbeit el-higara,2
qasr el-sagha,2
maghagha,2
wannina,2
temple of tuthmosis iii,2
gebel barkal,2
el-hag qandil,2
umm el-bereigat,2
balansura,2
zagazig,2
girga,2
deir rifa,2
el-samara,2
el-malqata,2
governorate of cairo,2
buhen,2
kor,2
el-halfaya qibli,1
eastern desert and sinai,1
samannud,1
workers' village,1
khons temple,1
nag` el-hasaya,1
el-shallal,1
tamiya,1
kalabsha,1
fagg el-gamus,1
governorate of qalyubiya,1
dimu,1
governorate of south sinai,1
governorate of beni sueif,1
el-miniya,1
sharuna,1
ballana,1
helwan,1
el-ma`adi,1
el-khozam,1
governorate of miniya,1
tukh,1
ausim,1
tombs of the artisans,1
tell el-muqdam,1
el-`atamna,1
kumma,1
el-sheikh fadl,1
mashay`a,1
marimda beni salama,1
tell far`oun,1
kiman faris,1
temple of mentuhotep,1
nag` el-medamud,1
timai el-amdid,1
governorate of buheiyra,1
tell el-maskhuta,1
asfun el-mata'na,1
qena,1
el-ballas,1
governorate of sharqiya,1
tell el-fara`in,1
zawyet el-amwat,1
ain shams,1
sakha,1
kom el-hisn,1
governorate of qena,1
temple of amenhotep iii,1
tafa,1
