object_classification,count
coin,6846
shabti,3805
figure,2925
papyrus,2633
ostracon,2568
transport amphora,2335
amulet,1870
vessel,1798
bowl,1646
chalice,1466
figurine,1453
scarab,1392
stela,1299
print,1186
vase,1121
statue,1059
tablet,986
weight,943
jar,929
"ostracon ,  vessel",712
ionian cup,680
bead,677
cup,659
relief,586
digital photograph,564
amphora,546
arrow-head,545
coffin,505
plate,482
lamp,478
krater,376
oinochoe,362
canopic jar,353
coptic textile,337
necklace,323
human figurine,319
kantharos,309
dish,309
animal,290
"drawing ,  print study",287
mummy-label,278
column krater,264
net-sinker,255
postcard,245
"amulet ,  figure",242
drawing,242
cowroid,236
oil-lamp,232
seal-impression,228
dinos,225
blade,225
unknown,214
neck-amphora,214
finger-ring,204
jug,196
axe,191
bracelet,181
sculpture,177
textile,174
scarab-mould,171
comb,168
palette,167
"print ,  book-illustration",165
pendant,163
"cast ,  relief",158
inlay,158
goblet,157
temple-relief,157
band-cup,155
photographic print,153
scaraboid,153
bottle,150
kylix,150
ear-ring,146
knife,143
vessel-stamp,143
coffin-fitting,135
"ostracon ,  jar",133
token,131
scaraboid-mould,131
flask,126
heavy chalice,126
finger ring,126
udjat-amulet,126
receptacle,125
"figure ,  plaque",125
foundation deposit,124
pitcher,124
lid,121
tile,119
funerary,117
"ostracon  ,  vessel",114
scarab seal,113
sculpture in the round,110
"wine-jar ,  ostracon",110
sculptor's model,109
scraper,108
funerary cone,105
artefact,105
sandal,105
mask,105
"figure ,  amulet",103
kohl-jar,102
"vessel ,  ostracon",102
wine-jar,101
phiale mesomphalos,101
cylinder seal,100
animal remains,95
skyphos,94
earring,91
jewellery,89
mummy-wrapping,88
vessels,88
"votive box ,  figure",88
tomb-relief,87
tool/implement,86
figure-fitting,85
ionian little-master cup,83
base-ring juglet,82
mirror,82
"print ,  satirical print",79
medal,78
seal,78
game-piece,77
situla,75
"ear-ring ,  hair-ring",74
basket,73
box,72
unspecified receptacle,71
tomb-painting,71
bell krater,70
plaque,69
stemmed bowl,68
figured ostracon,68
alabastron,68
drill-core,68
siana cup,67
"canopic jar ,  model",67
offering table,66
tools,65
lekanis,65
panel,64
canopic jar lid,64
"weight ,  tool/implement",63
heart scarab,63
"papyrus ,  codex",62
beaker,60
amulets,60
aryballos,59
offering-table,59
base,58
kohl pot,56
"furniture-fitting ,  figure",55
ritual objects,54
rosette bowl,53
kohl-tube,52
arrow,49
pectoral,49
lip-cup,49
headrest,49
spoon,49
seal impression,48
nail,48
"jar ,  ostracon",47
model,46
cup type a,46
cosmetic-palette,46
bangle,46
jar-sealing,45
"textile ,  cloth",45
"textile ,  garment ,  tunic",45
olpe,44
"plaque ,  foundation-deposit",44
doll,44
curse,43
lekythos,42
cosmetic and medical equipment and implements,42
kotyle,42
kohl-stick,42
sistrum,42
"receptacle, stand for",41
undefinable,41
stove,41
"textile ,  furnishing",41
imitation vessel,40
architecture,40
dagger,40
toiletries,40
trefoil-mouth oinochoe,40
flake,39
mummy trappings,39
kohl-pot,39
cosmetic-jar,38
razor,38
chisel,38
kohl tube,37
gaming-piece,37
cup-skyphos,37
heart-scarab,37
cosmetic-spoon,36
stand,36
architectural decoration,36
arrow head,36
"figure ,  votive plaque",36
sealing,35
amulet mould,35
epigraphy,34
hydria,34
figure-mould,34
bird bowl,34
architectural element,34
spindle-whorl,33
stamp,33
"amphora ,  oinochoe",33
mould,33
wall painting,33
trial-piece,33
ampulla,32
implements and utensils,32
writing-tablet,32
tablet case,32
cosmetic-dish,31
capital,31
false door,31
juglet,31
ring,31
kernos,31
frieze,31
"foundation-deposit ,  plaque",31
"filter ,  jug",31
stemless cup,30
breast cover,30
boat,30
djed-amulet,30
moulding,30
squat lekythos,29
"warfare, hunting and fishing equipment",29
head-rest,29
gordion cup,29
heart-amulet,29
furniture-fitting,29
male mummy,29
lagynos,28
domestic equipment and utensils,28
naukratic figure,28
cameo,28
"animal mummy ,  mummy-wrapping",27
babylonian,27
mug,27
intaglio,27
fish-hook,27
cylix,26
column,26
mummy-portrait,26
naos,26
cosmetic-vessel,26
"ear-plug ,  ear-stud ,  bead",26
mortarium,26
dice,26
spear-head,26
lintel,25
bead net,25
cross pendant,25
medallion,25
tomb equipment,25
block,25
armlet,25
wall-painting,24
portrait,24
sumerian,24
sarcophagus,24
key,24
amulet-mould,24
shabti-box,24
furniture decoration,23
"drawing ,  sketch-book",23
sample,23
"scarab, seal, scaraboid, intaglio and similar objects",23
"textile ,  mummy-wrapping",23
cosmetic-box,23
architrave,23
jewelry,23
"album ,  photographic print",23
stool,23
vegetal remains,22
eye-cup,22
toy,22
stirrup jar,22
human mummy,22
button seal,22
