period,count
,3380
late period,2534
middle kingdom,2329
new kingdom,2327
unknown,1440
reign of amenhotep iii new kingdom,1031
roman period,986
ptolemaic period,884
joint reign of hatshepsut and thutmose iii new kingdom,762
18th dynasty,721
third intermediate period,588
coptic period,518
graeco-roman period,511
late period-ptolemaic period,504
"reign of akhenaten new kingdom, amarna period",428
meroitic period,418
"new kingdom, ramesside",412
19th dynasty,353
26th dynasty,348
predynastic period,327
"reign of amenemhat i, early middle kingdom",323
reign of psusennes i third intermediate period,304
3rd intermediate period,303
"reign of psamtik i late period, saite",291
old kingdom,286
naqada ii,250
amenhotep iv,247
12th dynasty,247
early dynastic period,241
21st dynasty,241
2nd intermediate period,199
tutankhamun,198
6th dynasty,192
second intermediate period-early new kingdom,183
byzantine period,175
30th dynasty,173
20th dynasty,163
christian period,153
x-group,153
a-group,152
reign of thutmose iii new kingdom,142
5th dynasty,140
c-group,137
middle kingdom-early new kingdom,136
25th dynasty and contemporaries,131
1st dynasty,129
amenhotep iii,125
22nd dynasty,124
ramesses ii,119
reign of thutmose ii-early joint reign new kingdom,116
"reign of ramesses ii new kingdom, ramesside",113
ptolemaic period-roman period,111
third intermediate period-late period,110
ptolemaic or roman period,96
reign of thutmose i-early sole thutmose iii new kingdom,95
late middle kingdom-second intermediate period,82
second intermediate period,78
tuthmosis iii,76
1st intermediate period,76
"reign of mentuhotep ii, early middle kingdom",74
11th dynasty,73
13th dynasty,66
classical kerma,65
islamic period,64
ptolemaic,63
middle kingdom-second intermediate period,61
high-priests and priest-kings of thebes,60
sethos i,58
late middle kingdom-early new kingdom,57
gerzian,56
naqada,53
"reign of siptah new kingdom, ramesside",53
reign of tutankhamun new kingdom,49
possibly senwosret i middle kingdom,48
reign of mentuhotep ii middle kingdom,48
3rd intermediate,48
late middle kingdom,47
reign of amenhotep i new kingdom,46
reign of senwosret i middle kingdom,45
napatan period,44
hatshepsut,44
"predynastic, naqada ii",43
third intermediate period or later,43
4th dynasty,42
reign of senwosret ii-amenemhat iii middle kingdom,42
naqada i,41
early reign of amenemhat i middle kingdom,38
kerma culture,37
psusennes,35
reign of amenhotep ii new kingdom,35
amenhotep ii,33
15th dynasty,32
amarna,32
ramesses iii,31
reign of thutmose iv new kingdom,29
mentuhotep ii,29
ancient kerma,27
27th dynasty and contemporaries,27
middle kerma,27
reign of thutmose i new kingdom,26
prehistoric periods,26
greco-roman,26
late paleolithic,26
reign of thutmose ii new kingdom,26
"late period, saite",26
coptic/byzantine,25
old kingdom-first intermediate period,24
ramesses iv,23
9th & 10th dynasty,23
17th dynasty,23
7th & 8th dynasty,22
reign of ahmose new kingdom,22
"reign of ramesses iv new kingdom, ramesside",21
saite period,21
reign of djer early dynastic period,21
chalcolithic period,21
naqada iii,21
reign of khasekhemui early dynastic period,21
lower paleolithic period,20
tuthmosis iv,20
ptolemy ii philadelphus,20
reign of amenemhat i middle kingdom,19
joint reign of hatshepsut and thutmose iii twentieth century,19
3rd dynasty,19
modern period,19
reign of ahmose i new kingdom,18
"ramesses ii or slightly later new kingdom, ramesside",18
reign of thutmose iii-amenhotep ii new kingdom,18
neolithic period,18
ptolemy i soter i,18
psammetichus i,17
amasis,16
reign of amenhotep ii twentieth century,16
pinudjem ii,15
predynastic,15
roman period or later,15
"predynastic, late naqada l-naqada ii",15
"reign of seti i new kingdom, ramesside",15
reign of thutmose iii-early amenhotep ii new kingdom,15
sumerian,14
"reign of ramesses iii new kingdom, ramesside",14
merenptah,14
ahmose,14
predynastic period-old kingdom,14
"predynastic, naqada iii",14
"new kingdom, ramesside-late period",13
reign of isesi-unis old kingdom,13
senwosret i,13
23rd dynasty,12
later reign of amenhotep ii-mid-reign of amenhotep iii twentieth century,12
reign of amenemhat iii middle kingdom,12
reign of ahmose-thutmose iii new kingdom,12
2nd dynasty,12
taharqa,12
cheops,12
"probably new kingdom, ramesside-third intermediate period",12
paleolithic to neolithic,12
nyuserre,11
amenemhat iii,11
djer,11
reign of mentuhotep ii first intermediate period-middle kingdom,11
reign of ahmose-joint reign new kingdom,11
reign of senwosret ii middle kingdom,11
"predynastic, badarian",11
ptolemy vi philometor,10
ptolemy iii euergetes i,10
late period-roman period,10
reign of thutmose iv-amenhotep iii new kingdom,10
horemheb,10
sethos ii,9
late babylonian,9
chephren,9
first intermediate period,9
reign of amenemhat ii middle kingdom,9
senwosret iii,9
sahure,9
"reign of seti ii new kingdom, ramesside",8
psammetichus ii,8
reign of psamtik ii or later late period,8
hadrian,8
reign of thutmose ii to joint reign new kingdom,8
osorkon ii,8
"new kingdom, amarna period",8
"predynastic, late naqada iii",8
reign of senwosret iii middle kingdom,8
new kingdom-third intermediate period,7
"reign of amenhotep ii-thutmose iv new kingdom, ramesside",7
nectanebo i,7
early new kingdom,7
shabaka,7
"predynastic, late naqada iii-early dynastic period",7
amenhotep i,7
amenhotep iii new kingdom,7
"reign of tawosret new kingdom, ramesside",7
"late period, persian period",7
macedonian period,7
ptolemy ix soter ii,7
ptolemy viii euergetes ii,7
reign of khufu old kingdom,7
reign of pepi i old kingdom,7
nektanebo ii,7
new kingdom or later,7
late period or ptolemaic period,6
early reign of mentuhotep ii middle kingdom,6
reign of pepi ii old kingdom,6
"neolithic period, buto-merimda-maadi",6
"predynastic, naqada ii-naqada iii",6
apries,6
middle paleolithic period,6
?,6
"reign of amasis late period, saite",6
early dynastic,6
amenemope,6
tuthmosis i,6
reign of seti i twentieth century,6
pinudjem i,6
menkheperre,6
ptolemy iv philopator,6
ramesses i,5
pepi ii,5
reign of osorkon i third intermediate period,5
third intermediate period-kushite period,5
third intermediate period-saite period,5
reign of amenhotep iii twentieth century,5
reign of thutmose i-thutmose iii new kingdom,5
pepi i,5
new kingdom-ptolemaic,5
reign of djet early dynastic period-old kingdom,5
augustus,5
reign of thutmose iii twentieth century,5
wadji,5
"new kingdom, ramesside-third intermediate period",5
dewen,5
"late middle kingdom or new kingdom, ramesside",5
ptolemy x alexander i,5
"reign of tutankhamun new kingdom, amarna period",5
post-meroitic period,5
middle paleolithic,5
"reign of apries late period, saite",5
herihor,5
senwosret ii,5
mycerinus,5
late period-ptolemaic,5
possibly slightly after the death of of amenemhat iv middle kingdom,5
shoshenq ii,5
reign of amenhotep iii-akhenaten new kingdom,4
amasis late period,4
reign of thutmose ii to early joint reign new kingdom,4
late old kingdom,4
"reign of mentuhotep ii, late middle kingdom",4
reign of amenhotep iii probably new kingdom,4
early reign of senwosret i middle kingdom,4
reign of den early dynastic period,4
"predynastic, naqada i",4
ptolemaic-byzantine period,4
ptolemaic period or roman period,4
reign of aha early dynastic period,4
first intermediate period-early middle kingdom,4
reign of thutmose iv-amenhotep iii twentieth century,4
reign of merneferre aya middle kingdom,4
reign of ahmose i-thutmose ii new kingdom,4
reign of amenhotep ii-amenhotep iii new kingdom,4
ptolemaic-roman,4
