,Unique Values,Count
38,ABKANARTI,49
90,ABU GHURAB,11
81,ABU RAUWASH,15
69,ABU SIR,21
76,ABU SIR EL-MALAQ,17
1,ABYDOS,528
128,AB`ADIYEH,3
205,AIN SHAMS,1
14,AKHMIM,152
6,AKSHA,317
12,ALEXANDRIA,192
16,ARGIN:-NAG`EL ARAB,137
35,ARGIN:-NAG`SHAYEG,54
37,ARGÍN:-MIRMAD,50
39,ARGÍN:-NELLUAH,48
96,ARMANT,9
199,ASFUN EL-MATA'NA,1
49,ASIUT,36
101,ASWAN,7
145,ASWAN AND THE REST OF THE GOVERNORATE,2
184,AUSIM,1
159,BALANSURA,2
178,BALLANA,1
136,BATN IHRIT,3
23,BEGRAWIYA,85
152,BEHBEIT EL-HIGARA,2
126,BEIT KHALLAF,3
25,BENI HASSAN,80
144,BUHEN,2
91,DAHSHOUR,11
3,DEIR EL-BAHARI,372
26,DEIR EL-MEDINAH,79
156,DEIR RIFA,2
173,DIMU,1
52,DIRA` ABU EL-NAGA,34
118,DISHASHA,5
171,EASTERN DESERT AND SINAI,1
117,EDFU,5
33,EL-ASHMUNEIN,58
40,EL-ASSASIF,46
50,EL-BADARI,36
22,EL-BAHNASA,90
201,EL-BALLAS,1
70,EL-BERSHA,20
15,EL-FAIYUM,151
53,EL-GABALIN,33
140,EL-HAG QANDIL,2
170,EL-HALFAYA QIBLI,1
73,EL-HAMMAMIYA,17
122,EL-HARAGA,4
44,EL-HIBA,40
135,EL-KHOKHA,3
181,EL-KHOZAM,1
17,EL-KOM EL-AHMAR,122
97,EL-LAHUN,9
98,EL-LISHT,8
62,EL-MAHASNA,27
161,EL-MALQATA,2
132,EL-MATARIYA,3
180,EL-MA`ADI,1
175,EL-MINIYA,1
78,EL-MINIYA WAL SHURAFA,16
131,EL-MO`ALLA,3
47,EL-RIQQEH,38
104,EL-RUBIYAT,7
157,EL-SAMARA,2
164,EL-SHALLAL,1
190,EL-SHEIKH FADL,1
13,EL-SHEIKH `ABADA,178
9,EL-`AMARNA,246
92,EL-`AMRAH,11
187,EL-`ATAMNA,1
103,ELEPHANTINE,7
74,ELKAB,17
79,ESNA,16
166,FAGG EL-GAMUS,1
60,FARAS,28
139,GEBEL BARKAL,2
66,GHURAB,23
148,GIRGA,2
89,GIRZA,11
4,GIZA NECROPOLIS,322
43,GOVERNORATE OF ALEXANDRIA,40
107,GOVERNORATE OF ASIUT,6
110,GOVERNORATE OF ASWAN,6
191,GOVERNORATE OF BENI SUEIF,1
197,GOVERNORATE OF BUHEIYRA,1
162,GOVERNORATE OF CAIRO,2
58,GOVERNORATE OF FAIYUM,30
71,GOVERNORATE OF GIZA,20
21,GOVERNORATE OF LUXOR,93
150,GOVERNORATE OF MATRUH,2
182,GOVERNORATE OF MINIYA,1
176,GOVERNORATE OF QALYUBIYA,1
208,GOVERNORATE OF QENA,1
194,GOVERNORATE OF SHARQIYA,1
174,GOVERNORATE OF SOUTH SINAI,1
29,GU`RAN,66
77,HAWWARA,17
