,Unique Values,Count
107,ACCESSORY,18
138,ADZE,11
219,AEGIS,5
247,AEGIS WITH COUNTERPOISE,4
423,AGRICULTURAL EQUIPMENT,1
239,ALTAR,4
52,AMPHORA,48
1,AMULET,1268
70,AMULET MOULD,35
13,ANIMAL,290
177,ANKH-AMULET,8
241,ANKLET,4
67,ARCHITECTURAL DECORATION,36
72,ARCHITECTURAL ELEMENT,34
226,ARCHITECTURAL MODEL,4
328,ARCHITECTURE,2
106,ARCHITRAVE,18
360,ARM,1
236,ARM-SHAPED CENSER,4
342,ARMCHAIR,2
102,ARMLET,19
275,ARROW,3
69,ARROW HEAD,36
278,ARYBALLOS,3
315,AWL,2
71,AXE,35
164,BAKERY,8
356,BALANCE,1
248,BALL,4
121,BANDAGE,14
231,BASE,4
39,BASE-RING JUGLET,82
344,BASIN,2
96,BASKET,22
18,BEAD,150
91,BEAD NET,25
157,BED,9
246,BELL,4
206,BELT,6
209,BEZEL,5
244,BIRD MUMMY,4
68,BLADE,36
412,BLOCK,1
82,BOAT,29
367,BOSS,1
32,BOTTLE,108
304,BOW,2
400,BOW-CASE,1
7,BOWL,366
64,BOX,37
292,BOX LID,3
26,BRACELET,116
221,BREAD,5
78,BREAST COVER,30
195,BREWERY,6
322,BRICK,2
250,BROOCH,4
382,BROOM,1
253,BRUSH,3
365,BUILDING EQUIPMENT,1
394,BURIAL CHAMBER,1
348,BURNISHER,2
283,BUTCHER'S SHOP,3
120,BUTTON SEAL,14
270,CANDELABRUM,3
147,CANOPIC BOX,10
338,CANOPIC BOX PANEL,2
255,CANOPIC CHEST,3
397,CANOPIC COFFINETTE,1
33,CANOPIC JAR,108
45,CANOPIC JAR LID,64
272,CANOPIC SHRINE,3
258,CANTHAROS,3
252,CAP,3
129,CAPITAL,13
321,CARPENTER'S SHOP,2
314,CARPENTERS & SCULPTORS TOOLS,2
347,CASE,2
325,CASING STONE,2
228,CASTANET,4
115,CAT MUMMY,16
357,CATTLE BREEDING,1
380,CEILING,1
172,CENSER,8
176,CHAIR,8
213,CHALICE,5
257,CHAPEL,3
350,CHARIOT,2
185,CHILD MUMMY,7
286,CHISEL,3
162,CLAPPER,8
410,CLASP,1
256,CLEPSYDRA,3
108,CLOTH,18
165,CLOTHING,8
122,CLUB,14
10,COFFIN,353
40,COIN,74
359,COLLAR,1
133,COLOSSUS,12
171,COLUMN,8
48,COMB,54
142,COMMEMORATIVE SCARAB,11
11,COPTIC TEXTILE,337
240,CORDAGE,4
371,CORN OSIRIS COFFIN,1
420,CORNICE,1
58,COSMETIC AND MEDICAL EQUIPMENT AND IMPLEMENTS,42
123,COUNTERPOISE,13
333,COUNTERPOISE OF MENAT,2
402,COUNTING CATTLE,1
262,CRAMP,3
374,CREW,1
101,CROCODILE MUMMY,19
271,CROWN,3
227,CUBIT ROD,4
83,CUP,28
131,CYLINDER SEAL,12
88,CYLIX,26
351,CYMBAL,2
124,DAGGER,13
401,DANCING DWARFS,1
202,DIADEM,6
152,DICE,9
200,DISC,6
22,DISH,125
336,DIVINE STANDARD,2
77,DJED-AMULET,30
363,DOG MUMMY,1
179,DOLL,8
84,DOMESTIC EQUIPMENT AND UTENSILS,28
154,DOOR,9
364,DOUBLE CROWN,1
319,DOWEL,2
317,DRILL,2
267,DRUM,3
305,EAR PLUG,2
161,EAR STUD,9
36,EARRING,91
251,ELEMENT OF HUMAN MUMMY,3
111,EROTIC FIGURINE,17
182,EWER,7
114,EXTENDED MASK,16
117,FALCON MUMMY,15
75,FALSE DOOR,31
187,FAN,7
137,FEMALE MUMMY,12
99,FIGURE VASE,21
43,FIGURED OSTRACON,68
0,FIGURINE,1432
204,FIGURINE MOULD,6
20,FINGER RING,126
303,FINGER STALL,2
313,FISH MUMMY,2
413,FISHING BOAT,1
50,FLASK,52
399,FOLDING BED,1
279,FOLDING STOOL,3
341,FOOD CASE,2
287,FOOD OFFERING,3
264,FOOT COVER,3
197,FOOT STOOL,6
24,FOUNDATION DEPOSIT,124
145,FRIEZE,11
308,FRUIT,2
38,FUNERARY CONE,85
296,FURNITURE,2
93,FURNITURE DECORATION,23
151,FURNITURE ELEMENT,10
218,GAME,5
166,GAME COMPONENT,8
143,GAME PIECE,11
370,GAMING BOARD,1
395,GARDEN,1
310,GARGOYLE,2
268,GARLAND,3
