,Unique Values,Count
38,11TH DYNASTY,73
14,12TH DYNASTY,247
39,13TH DYNASTY,66
53,15TH DYNASTY,32
143,16TH DYNASTY,3
61,17TH DYNASTY,23
3,18TH DYNASTY,721
10,19TH DYNASTY,353
31,1ST DYNASTY,129
37,1ST INTERMEDIATE PERIOD,76
22,20TH DYNASTY,163
16,21ST DYNASTY,241
33,22ND DYNASTY,124
80,23RD DYNASTY,12
149,24TH DYNASTY AND CONTEMPORARIES,2
30,25TH DYNASTY AND CONTEMPORARIES,131
11,26TH DYNASTY,348
56,27TH DYNASTY AND CONTEMPORARIES,27
175,29TH DYNASTY,1
81,2ND DYNASTY,12
17,2ND INTERMEDIATE PERIOD,199
21,30TH DYNASTY,173
193,31ST DYNASTY,1
69,3RD DYNASTY,19
12,3RD INTERMEDIATE PERIOD,303
48,4TH DYNASTY,42
27,5TH DYNASTY,140
19,6TH DYNASTY,192
63,7TH & 8TH DYNASTY,22
62,9TH & 10TH DYNASTY,23
25,A-GROUP,152
75,AHMOSE,14
146,ALEXANDER THE GREAT,2
72,AMASIS,16
121,AMENEMHAT II,4
82,AMENEMHAT III,11
174,AMENEMHAT V,1
105,AMENEMOPE,6
97,AMENHOTEP I,7
52,AMENHOTEP II,33
32,AMENHOTEP III,125
15,AMENHOTEP IV,247
148,AMENMESSE,2
128,AMRATIAN,4
57,ANCIENT KERMA,27
144,ANTONINUS PIUS,3
169,APOPHIS I,1
106,APRIES,6
150,ARSINOE II,2
187,ASOSI,1
111,AUGUSTUS,5
157,AY,2
171,BADARIAN,1
142,BERENICE II,3
20,BYZANTINE PERIOD,175
28,C-GROUP,137
64,CHALCOLITHIC PERIOD,21
79,CHEOPS,12
88,CHEPHREN,9
24,CHRISTIAN PERIOD,153
40,CLASSICAL KERMA,65
192,CLEOPATRA II,1
153,CLEOPATRA VII PHILOPATOR,2
160,CONSTANTINE THE GREAT,1
7,COPTIC PERIOD,513
156,DARIUS I,2
113,DEWEN,5
162,DIOCLETIAN,1
131,DJEDEFRE,3
84,DJER,11
126,DJOSER,4
137,DJOSER TETI,3
151,DOMITIAN,2
188,DYNASTY 0,1
34,EARLY DYNASTIC PERIOD,123
43,GERZIAN,56
8,GRAECO-ROMAN PERIOD,511
94,HADRIAN,8
45,HATSHEPSUT,44
115,HERIHOR,5
41,HIGH-PRIESTS AND PRIEST-KINGS OF THEBES,60
200,HOR I,1
85,HOREMHEB,10
168,INTEF II,1
47,ISLAMIC PERIOD,44
195,KA,1
205,KASHTA,1
50,KERMA CULTURE,37
