,Unique Values,Count
65,ACACIA,8
75,AGATE,5
104,ALLOYS,1
76,AMAZONITE,5
51,AMETHYST,21
66,ANHYDRITE,8
78,ANORTHOSITE,4
82,AZURE,4
19,BASALT,124
64,BEESWAX,8
21,BONE,106
93,BOX,2
106,BRASS,1
46,BRECCIA,22
3,BRONZE,1433
6,CALCITE,539
18,CARNELIAN,146
55,CEDAR,15
91,CHALCEDONY,3
110,CHARCOAL,1
111,CHRIST THORN,1
5,CLAY,1175
32,COPPER,54
96,CYPRESS,2
62,DATE-PALM FIBER,9
30,DIORITE,71
109,DOLERITE,1
98,DOM PALM,1
45,EBONY,23
60,ELECTRUM,10
16,ENAMEL,165
1,FAIENCE,2333
102,FEATHER,1
68,FELSPAR,7
44,FIBER,24
108,FIR,1
17,FLAX,163
22,FLINT,106
61,GABBRO,10
113,GARNET,1
43,GESSO,24
13,GLASS,200
84,GLAZE,3
86,GNEISS,3
11,GOLD,235
10,GRANITE,268
31,GREYWACKE,60
118,GUT,1
53,GYPSUM,17
49,HAEMATITE,22
105,HAIR,1
83,HALFA GRASS,4
89,HORN,3
115,INCENSE,1
42,IRON,25
20,IVORY,113
116,JADE,1
38,JASPER,36
34,LAPIS LAZULI,51
72,LEAD,6
52,LEATHER,18
2,LIMESTONE,1762
112,LIMONITE,1
8,LINEN,323
59,MAN MADE MATERIAL,12
25,MARBLE,94
87,MARL,3
77,METAL,5
79,MICA,4
57,MINERAL,13
58,MOTHER OF PEARL,12
114,NATRON,1
85,NATURAL COMPOUND,3
100,NEPHRITE,1
54,NILE MUD,16
63,NON ORGANIC,9
47,OBSIDIAN,22
26,ORGANIC,86
14,PAPYRUS,173
80,PARCHMENT,4
107,PERIDOT,1
74,PLANT PRODUCT,5
23,PLASTER,99
56,PORPHYRY,14
0,POTTERY,2456
41,QUARTZ,31
36,QUARTZITE,50
50,REED,22
92,RESIN,2
9,ROCK,285
48,RUSH,22
101,SAND,1
12,SANDSTONE,210
117,SARDONYX,1
37,SCHIST,39
33,SERPENTINITE,52
29,SHELL,74
67,SILK,7
39,SILTSTONE,33
35,SILVER,50
24,SLATE,95
7,STEATITE,353
73,STRAW,5
40,SYCAMORE,31
90,TAMARISK,3
94,TIN,2
88,TURQUOISE,3
15,UNKNOWN,170
71,UNSPECIFIED,6
70,UNSPECIFIED FIBER,6
81,UNSPECIFIED MAN MADE MATERIAL,4
99,UNSPECIFIED METAL,1
97,UNSPECIFIED MINERAL,2
95,UNSPECIFIED PLANT PRODUCT,2
27,UNSPECIFIED ROCK,83
69,UNSPECIFIED WOOD,6
103,WILLOW,1
4,WOOD,1352
28,WOOL,80
