,Unique Values,Count
19,Abu Mena,3
32,Ahnas,1
4,Akhmim,65
46,Akhmin,1
41,Alexandria,1
52,Antinoe,1
24,Antinopolis,2
11,Aswan,10
15,Bahnasa,3
14,Balyzeh,3
6,Bawit,34
36,Bawit or Terenouthis,1
45,Bubastis,1
2,Cairo,147
13,Damietta,4
51,Dendereh,1
48,Ehnasya,1
28,El-Hiba,2
17,Erment,3
23,Erment or Medinet Habu,2
20,Eshmunein,3
1,Fustat,161
35,Ganadleh,1
44,Hermonthis,1
38,Hibis,1
50,Hiw,1
12,Kuft,7
9,Kus,15
25,Lisht,2
5,Maghagha,45
26,Medinet Habu,2
47,Meidum,1
37,Mitrahina,1
16,Oxyrhynchus,3
49,Qarara,1
34,Rifeh,1
3,Saqqara,91
7,Thebes,27
22,Tinnis,2
43,Tuna al-Gebel,1
10,el-Bahnasa,12
21,near Damietta,2
8,near Fustat,19
27,near Thebes,2
42,possibly Akhmim,1
29,possibly Bubastis,2
33,possibly Cairo,1
40,possibly Dal al Suriyan,1
39,probably Akhmim,1
18,probably Cairo,3
30,probably Deir el-Ballas,2
31,probably Fustat,1
0,unknown,14196
