,Unique Values,Count
178,1,1
269,18,1
137,19-20,2
157,26,1
155,Dyn. 19 - 20 or later,1
255,Dynasties 18-20,1
191,Dynasties 19-20,1
262,Dynasty 0-1,1
156,Dynasty 0-2,1
14,Dynasty 1,85
79,"Dynasty 1, 3-4",5
131,Dynasty 1-2,2
9,Dynasty 11,216
200,Dynasty 11 or earlier,1
209,Dynasty 11 or later,1
214,"Dynasty 11, late",1
231,"Dynasty 11, late-12",1
207,"Dynasty 11, late-12, early",1
100,Dynasty 11-12,3
66,Dynasty 11-13,8
124,Dynasty 11-17,2
51,Dynasty 11-18,14
245,Dynasty 11-early 12,1
266,Dynasty 11-early 18,1
92,Dynasty 11-mid 12,4
4,Dynasty 12,722
261,Dynasty 12 mid-13,1
149,"Dynasty 12, beginning",1
41,"Dynasty 12, early",19
72,"Dynasty 12, early - mid",6
40,"Dynasty 12, early-mid",19
76,"Dynasty 12, late",5
91,"Dynasty 12, late  - 13, early",4
39,"Dynasty 12, late - 13 up to 1700",19
195,"Dynasty 12, late - Dynasty 13, early",1
227,"Dynasty 12, late - Second Intermediate Period",1
140,"Dynasty 12, late - early 13",2
233,"Dynasty 12, late -13",1
256,"Dynasty 12, late -13, early",1
63,"Dynasty 12, late-13",9
49,"Dynasty 12, late-13 to 1700 B.C.",14
118,"Dynasty 12, late-13 up to 1700 B. C.",2
71,"Dynasty 12, late-17",6
151,"Dynasty 12, late-Dynasty 17",1
15,"Dynasty 12, late-early 13",81
183,"Dynasty 12, late-early 18 or later",1
62,"Dynasty 12, mid",9
87,"Dynasty 12, mid - Dynasty 13",5
264,"Dynasty 12, mid- Dynasy 13",1
128,"Dynasty 12, mid-13",2
86,"Dynasty 12, mid-late",5
265,"Dynasty 12,mid-Dynasty 13",1
254,Dynasty 12- 13,1
2,Dynasty 12-13,922
73,"Dynasty 12-13, late",6
242,Dynasty 12-14,1
181,Dynasty 12-15,1
27,Dynasty 12-17,32
11,Dynasty 12-18,106
105,Dynasty 12-2nd Intermediate Period,3
180,Dynasty 12-Dynasty 13,1
127,Dynasty 12-Dynasty 17,2
121,Dynasty 12-Early Dynasty 18,2
139,Dynasty 12-early Dynasty 18,2
17,Dynasty 13,80
125,Dynasty 13 or later,2
186,Dynasty 13 probably,1
77,Dynasty 13 to 1700 B.C.,5
216,"Dynasty 13, late",1
101,"Dynasty 13, late-15",3
83,"Dynasty 13, late-18, early",5
60,"Dynasty 13, mid",10
232,"Dynasty 13, possibly 15, early",1
177,"Dynasty 13, reign of Khendjer",1
184,Dynasty 13-14,1
143,Dynasty 13-15,2
29,Dynasty 13-17,30
78,Dynasty 13-18,5
20,"Dynasty 13-18, early",55
260,Dynasty 13-2nd Intermediate Period,1
16,Dynasty 13-SIP,81
134,Dynasty 14,2
64,Dynasty 14-17,9
88,Dynasty 15,4
224,"Dynasty 15, late",1
268,Dynasty 15-16,1
104,Dynasty 15-17,3
263,"Dynasty 15-18, early",1
43,Dynasty 17,17
18,Dynasty 17-18,75
12,Dynasty 17-Early Dynasty 18,90
116,Dynasty 17-early 18,2
225,Dynasty 17-early Dynasty 18,1
1,Dynasty 18,2997
240,Dynasty 18 or 21-22,1
246,"Dynasty 18, Reign of Amenhotep III",1
5,"Dynasty 18, early",514
247,"Dynasty 18, early, probably",1
112,"Dynasty 18, late",3
94,"Dynasty 18, late, or early 19",4
188,"Dynasty 18, late-Dynasty 19",1
80,"Dynasty 18, possibly later",5
189,"Dynasty 18, reign of Amenhotep III",1
70,"Dynasty 18, second half",7
42,Dynasty 18-19,18
53,Dynasty 18-20,12
8,Dynasty 19,266
130,"Dynasty 19, early",2
7,Dynasty 19-20,366
152,Dynasty 19-20 or 21-25,1
218,Dynasty 19-20 or later,1
170,Dynasty 19-21,1
113,Dynasty 19-22,2
160,Dynasty 19-25,1
50,Dynasty 19-26,14
198,Dynasty 19-30,1
24,Dynasty 2,35
251,Dynasty 2 probably,1
46,"Dynasty 2, second half",15
141,Dynasty 2-3,2
185,Dynasty 2-5,1
19,Dynasty 20,55
82,Dynasty 20 or later,5
75,Dynasty 20-21,6
68,Dynasty 20-22,7
193,Dynasty 20-24,1
168,Dynasty 20-26,1
3,Dynasty 21,781
199,"Dynasty 21, late",1
52,"Dynasty 21, second half",13
81,Dynasty 21-22,5
58,Dynasty 21-24,10
21,Dynasty 21-25,49
38,Dynasty 21-26,20
28,Dynasty 21-30,30
119,Dynasty 21-early Dynasty 22,2
44,Dynasty 22,17
97,Dynasty 22-23,4
122,Dynasty 22-24,2
37,Dynasty 22-26,20
99,Dynasty 23,3
145,Dynasty 23-26,1
144,Dynasty 23-30,1
123,Dynasty 24-26,2
31,Dynasty 25,28
126,Dynasty 25 or later,2
25,Dynasty 25-26,34
161,Dynasty 25-29,1
35,Dynasty 25-30,21
103,Dynasty 25-early 26,3
93,Dynasty 25-early Dynasty 26,4
6,Dynasty 26,407
85,Dynasty 26 or later,5
197,"Dynasty 26, mid to late",1
107,Dynasty 26-27,3
13,Dynasty 26-29,90
10,Dynasty 26-30,198
238,Dynasty 26-4th century,1
61,Dynasty 27,10
114,Dynasty 27 or later,2
36,Dynasty 27-30,21
163,Dynasty 29,1
129,Dynasty 3,2
67,Dynasty 3-4,7
135,Dynasty 3-5,2
153,Dynasty 3-9,1
55,Dynasty 30,11
26,Dynasty 30 or later,32
159,Dynasty 30-2nd Persian Period,1
34,Dynasty 4,23
252,"Dynasty 4, mid-5th Dynasty",1
74,Dynasty 4-5,6
257,Dynasty 4-6,1
237,Dynasty 4-mid 5,1
23,Dynasty 5,43
158,"Dynasty 5, end",1
65,Dynasty 5-6,9
108,Dynasty 5-8,3
30,Dynasty 6,29
84,Dynasty 6 or later,5
259,"Dynasty 6, first half",1
136,Dynasty 6-11,2
147,Dynasty 6-12,1
69,Dynasty 6-8,7
243,Dynasty 6-9,1
110,Dynasty 7-10,3
187,Dynasty 7-8,1
96,Dynasty 8,4
45,Dynasty 8-11,16
175,Dynasty 8-12,1
154,Dynasty 8-9,1
150,Dynasty 9,1
213,Dynasty 9 or later,1
115,Dynasty 9-10,2
211,Dynasty 9-11,1
109,Dynasty 9-12,3
190,Dynasty 9-early Dnyasty 11,1
212,Early Dynasty 12,1
56,Early Dynasty 18,11
215,End of  Dynasty 12-early Dynasty 13,1
166,Late 18 Dynasty - Early 19,1
208,Late Dynasty 11,1
221,Late Dynasty 11 - Dynasty 12,1
258,Late Dynasty 12,1
54,Late Dynasty 12-13,12
229,Late Dynasty 12-early Dynasty 13,1
89,Late Dynasty 13-early Dynasty 17,4
223,Late Dynasty 17-Early Dynasty 18,1
210,Late Dynasty 18,1
248,Late Dynasty 18-early Dynasty 19,1
146,Late Dynasty 19,1
169,Late Dynasty 21-early Dynasty 22,1
142,Late dynasty 11,2
117,Mid Dynasty 13,2
226,Mid-Dynasty 12 or later,1
194,Naqada II-Dynasty 1,1
132,Naqada III-Dynasty 1,2
244,Probably Dynasty 1,1
196,Probably Dynasty 12,1
162,Probably Dynasty 26,1
167,Ptolemaic,1
59,Ptolemaic Dynasty,10
98,early Dynasty 12,4
204,early Dynasty 13,1
47,early Dynasty 18,14
106,early Dynasty 21,3
253,early Dynasty 3,1
250,early dynasty 4-5,1
206,early to mid Dynasty 12,1
220,early to mid-Dynasty 12,1
219,end of Dynasty 11 - beginning of Dynasty 12,1
201,first part of Dynasty 13,1
174,late 18th through 20th,1
172,late Dynasty 11-early Dynasty 12,1
90,late Dynasty 12,4
176,late Dynasty 12 to Dynasty 13,1
217,late Dynasty 12 to early Dynasty 13,1
203,late Dynasty 12- Dynasty 13,1
32,late Dynasty 12-13,27
48,late Dynasty 12-Dynasty 13,14
222,late Dynasty 12-Dynasty 17,1
234,late Dynasty 12-early  Dynasty 13,1
235,late Dynasty 12-early 13,1
57,late Dynasty 12-early Dynasty 13,11
182,late Dynasty 13-early Dynasty 18,1
228,late Dynasty 13-early dynasty 18,1
230,late Dynasty 17 - early Dynasty 18,1
267,late Dynasty 17-early Dynasty 18,1
138,late Dynasty 18,2
249,late Dynasty 18-19,1
236,late Dynasty 18-early Dynasty 19,1
95,late Dynasty 21,4
171,late Dynasty 22,1
165,late Dynasty 22-23,1
148,likely Dynasty 19,1
179,mid Dynasty 12-13,1
22,mid Dynasty 13,45
192,mid Dynasty 18-20,1
164,mid Dynasty 21,1
111,mid to end Dynasty 12,3
120,mid to late Dynasty 12,2
33,mid to late Dynasty 13,24
205,mid to late Dynasty 18,1
173,mid to late dynasty 13,1
133,mid-Dynasty 12,2
202,mid-Dynasty 13,1
102,mid-Dynasty 18,3
241,mid-or late Dynasty 26,1
239,probably mid-Dynasty 18,1
0,unknown,5410
