,Unique Values,Count
606,"""redim""",1
368,"""toilet basket II,"" deposited without burial",2
14,1st chamber E. wall,59
17,1st chamber N. door,45
683,1st chamber N. door lintel,1
15,1st chamber W. wall,51
228,1st chamber on right,3
643,50 miles South of Aswan,1
125,Altar Court,5
673,Antechamber to King's bedroom,1
672,Atitu's  hole,1
755,Baboon catacombs,1
187,Behind Temple of Hathor,4
459,Birbiyeh No. 45,1
659,Bottom of pit,1
704,Burial 1,1
280,Burial 10,2
608,Burial 11,1
65,Burial 12,9
179,Burial 13,4
668,"Burial 21, intrusive",1
409,"Burial 23, on hand of mummy",1
498,"Burial 30, Body 30",1
699,Burial 31,1
792,"Burial 35, near tomb",1
834,Burial 4,1
712,Burial 46.1,1
484,Burial 47.12,1
701,Burial 5,1
483,Burial 50,1
175,Burial 53,4
278,Burial 59,2
447,Burial 59 A,1
60,Burial 59 D,11
843,Burial 59A,1
219,Burial 59D,3
169,Burial 5A.Ptol. x,4
263,Burial 6,2
148,Burial 6A.X.B12,4
510,Burial 6A.X.B14,1
610,Burial 6A.X.B15,1
614,Burial 6A.X.B22,1
566,Burial 6A.X.B24,1
372,Burial 6A.X.B26,2
567,Burial 6A.X.B29,1
374,Burial 6A.X.B33,2
573,Burial 6A.X.B42,1
706,Burial 7,1
628,Burial 74,1
123,Burial 78,5
594,Burial 954,1
708,Burial 954B,1
242,Burial 954C,3
190,Burial 954D,4
114,Burial 954E,6
258,Burial 954F,3
128,Burial 954J,5
109,Burial 954L,6
679,Burial 954M,1
224,Burial 954i,3
714,Burial A 1,1
367,"Burial A 1, In basket inside coffin",2
709,"Burial A 1, In coffin",1
118,"Burial A 1, In toilet box",6
361,"Burial A 1, On body",2
380,"Burial A 2, On body",2
651,"Burial A 3, On body",1
713,"Burial A 4, On body",1
235,"Burial B 1, In coffin",3
157,"Burial B 1, On body",4
321,"Burial B 2, In coffin",2
365,"Burial B 2, On body",2
394,Burial B 28,1
384,"Burial B 3, At foot of coffin",1
653,"Burial B 3, In coffin",1
359,"Burial B 3, On body",2
91,"Burial B 4, Between head of coffin and wall",7
239,"Burial B 4, In debris",3
383,Burial B 43,1
357,"Burial B 5, In coffin",2
698,"Burial B 6, On body",1
364,"Burial B 7, On body",2
355,"Burial B 9, In coffin",2
645,"Burial B x, Beside coffin",1
845,Burial B44,1
576,"Burial B44, inside coffin",1
577,"Burial B44, left wrist of mummy",1
375,"Burial B44, neck of mummy",2
205,"Burial C 1, In coffin",3
158,"Burial C 1, On body",4
348,"Burial C 2, In coffin",2
711,"Burial C 2, On body",1
332,"Burial C 3, inside coffin",2
720,"Burial C 3, on body",1
719,"Burial C 4, on body",1
718,"Burial C 6, on body",1
529,Burial Chamber,1
715,"Burial D 1, Beside coffin",1
72,"Burial D 1, Beside or on inner coffin",9
809,"Burial D 1, In bowl 16.10.438",1
808,"Burial D 1, In dish 16.10.438",1
180,"Burial D 1, On body",4
225,"Burial D 1, in bowl 16.10.438",3
363,"Burial D 2, On body",2
717,"Burial D 3, In coffin",1
182,"Burial D 3, On body",4
697,"Burial E 1, In coffin",1
259,"Burial E 1, On body",2
191,"Burial E 3, In coffin",4
256,"Burial E 3, On body",3
124,"Burial E 4, On body",5
721,"Burial E 5, In coffin",1
694,"Burial E 5, On body",1
693,"Burial E 6, On body",1
376,"Burial F 5, In coffin",2
724,"Burial F 5, On body",1
735,"Burial F 5, On body around neck",1
748,"Burial F 6, On body",1
95,Burial G,7
732,"Burial G 1 , On body",1
733,"Burial G 2 , On body",1
696,"Burial R 5 x, coffin",1
63,"Burial VIII, inside coffin",10
779,"Burial X, third finger left hand",1
218,"Burial of Amenemhat , inside coffin by head",3
330,"Burial of Amenemhat , inside coffin by knees",2
73,"Burial of Amenemhat , inside coffin, basket",9
134,"Burial of Amenemhat , inside coffin, by head",5
306,"Burial of Amenhotep, inside coffin near head",2
292,"Burial of Amenhotep, on coffin lid",2
222,Burial of Baki,3
331,"Burial of Baki , in coffin, bundle by feet",2
662,"Burial of Baki , in coffin, mummy's right",1
756,"Burial of Baki , inside coffin at foot",1
768,"Burial of Baki , inside coffin near feet",1
769,"Burial of Baki , outside coffin at head",1
34,Burial of Djedmutesankh,17
165,Burial of Gautsoshen,4
115,Burial of Henettawy daughter of Isetemheb,6
211,"Burial of Henettawy, daughter of Isetemheb",3
527,"Burial of Meritamun, in basket 11",1
867,"Burial of Neferkhawet  , near head of coffin",1
322,"Burial of Neferkhawet , 3rd finger, left hand",2
449,"Burial of Neferkhawet, on chest of mummy",1
106,Burial of Neferkhawt,6
45,Burial of Nesitaset,13
764,"Burial of Rennefer , in coffin, by left knee",1
142,"Burial of Rennefer , in coffin, near head",5
765,"Burial of Rennefer , in coffin, right ankle",1
601,"Burial of Rennefer , inside bowl 35.3.76",1
93,"Burial of Rennefer , inside box 35.3.79",7
766,"Burial of Rennefer , out of place",1
774,"Burial of Ruiu , by left shoulder of coffin",1
770,"Burial of Ruiu , in basket under 35.3.45a, b",1
772,"Burial of Ruiu , in large basket by coffin",1
116,"Burial of Ruiu , inside 35.3.45a, b",6
147,"Burial of Ruiu , inside canopic box",4
773,"Burial of Ruiu , inside coffin by head",1
226,"Burial of Ruiu , mummy, 3rd finger left hand",3
671,Burial of Tabakmut,1
50,Burial of Tiye,12
156,Burial of an anonymous female,4
186,Burials A x,4
59,Burials B x,11
262,Burials C x,2
700,Burials D x,1
100,Burials F x,6
731,Burials G x,1
354,Burials P x,2
310,Buried in top of ramp,2
80,Cachette,8
863,Canopic Box D,1
223,Causeway,3
146,"Causeway, Northern lane",5
851,Ceiling of passage,1
327,Ceiling of south bay,2
787,Ceiling south of axial beam of front hall,1
810,Center room in southern brick building,1
496,Chamber A debris,1
270,"Chamber A, Burial 73",2
707,Chamber B,1
391,"Chamber B, Burial 78",1
1,"Chamber B, Burial of Henettawy C",388
136,"Chamber B, burial 78",5
642,"Chamber C x, Beside coffin",1
523,Chamber E,1
31,"Chamber E, box 1",18
204,"Chamber E, box 1 or 4",3
318,"Chamber E, box 3",2
131,"Chamber E, box 4",5
88,Chamber M69,7
725,Chamber M89,1
402,Chapel,1
82,Chapel of Ramesses I,8
811,Chip near tomb,1
458,Coffin 77C,1
539,Coffin of Myt,1
230,Corridor,3
22,"Court, Radim",29
267,"Court, south side, intrusive burial no. 3",2
343,Courtyard,2
636,"Courtyard, north side",1
61,Debris,10
64,Debris from the Hathor shrine,10
518,Deposit 4,1
481,Dra Abu el-Naga,1
828,Dump,1
241,E. side of S. Village or Khor west of camp,3
135,East magazine,5
317,East slope,2
264,Eastern Portal,2
455,Embalmer's Cache,1
340,Embalmer's Cache C,2
464,Embalmer's Cache F,1
453,Embalmer's cache,1
341,Embalmers' Cache,2
599,Embalmers' Cache B,1
469,Embalmers' Cache D,1
460,Embalmers' Cache F,1
342,Embalmers' cache,2
463,Embalmers' cache I,1
155,Embalming cache,4
353,Enclosure wall,2
390,"Enclosure, Foundation deposit",1
397,Entrance kiosk,1
422,Entrance to tomb,1
705,"Facade Corridor, lower stratum rubbish",1
675,"Falcon Catacomb Gallery 6, niche 6a",1
133,Forecourt,5
144,Forecourt rubbish,5
386,"Forecourt, in debris",1
295,Foundation Deposit,2
101,Foundation Deposit 1,6
554,Foundation Deposit 1 or 4,1
74,Foundation Deposit 2a,9
56,Foundation Deposit 2b,11
232,Foundation Deposit 2c,3
29,Foundation Deposit 3,19
644,"Foundation Deposit 3, 4, 5",1
260,"Foundation Deposit 3, 4, 5, 6",2
161,"Foundation Deposit 3, 6",4
665,Foundation Deposit 3-6,1
30,Foundation Deposit 4,18
544,"Foundation Deposit 4 , inside 25.3.95a",1
480,"Foundation Deposit 4 , inside 95.3.96a",1
77,Foundation Deposit 5,8
43,Foundation Deposit 5AFD2,14
184,Foundation Deposit 6,4
6,Foundation Deposit 7,156
79,"Foundation Deposit 7, 8, 9",8
781,Foundation Deposit 7-9,1
37,Foundation Deposit 8,16
12,Foundation Deposit 9,74
509,"Foundation Deposit 9, rubbish near",1
19,Foundation deposit,42
873,Foundation deposit 1,1
881,Foundation deposit 2,1
51,"Foundation deposit 2, 5a, scattered",11
871,Foundation deposit 3,1
68,Foundation deposit 3 and 5a,9
213,"Foundation deposit 3, 5a and scattered",3
94,Foundation deposit 3-5a,7
98,Foundation deposit 4,7
178,Foundation deposit 5a,4
874,Foundation deposit 5b,1
780,"Foundation deposit, scattered",1
446,Grave 367,1
174,Harim,4
48,Hathor Chapel,12
8,Hathor Shrine,105
170,"Hathor Shrine, pit in hypostyle hall",4
648,Hathor shrine rubbish heaps,1
176,Hathor shrines,4
789,House 2.w,1
761,House A,1
166,House B,4
265,"House B, in bag",2
799,House Pit 1,1
626,House West of North Pyramid,1
685,House no. 68,1
362,House pit 1,2
800,House pit 2,1
167,Houses G-K,4
632,Hypostyle Hall,1
385,In rubbish in front of tomb with 7A 1067,1
273,In rubbish near foundation deposit 9,2
193,"Inside 36..59a, b",4
805,"Inside Box ""D""",1
861,"Inside Box ""F""",1
860,"Inside Box ""F""  probably",1
315,Kaemsenu tomb probably,2
546,Lake embankment,1
547,"Late Dynastic Intrusive Burials, between 2 and 3",1
