,Unique Values,Count
733,"09.184.214: Papyrus, olive leaves, persea leaves, cornflowers, blue lotus petals, Picris flowers, nightshade berries, faience, linen
09.184.215: Papyrus, olive leaves, cornflowers, linen
09.184.216: Papyrus, olive leaves, persea leaves, nightshade berries, celery , faience, linen dyed red",1
1040,Acacia wood,1
954,"Acacia wood, boxwood inlay",1
289,"Acacia, gesso, paint",3
1251,"Acacia, paint , gesso",1
1228,"Acacia, paint, gesso",1
1264,Aeolian sandstone,1
109,Agate,10
1216,Agate and quartz,1
751,"Agate, glass",1
894,"Agate, one porphyry",1
256,Alabaster,3
1135,Amber glass,1
456,"Amber, opaque and clear",2
62,Amethyst,20
1094,Amethyst with gold caps,1
1024,"Amethyst, carnelian, gold, green faience, lapis-lazuli",1
848,"Amethyst, carnelian, hematite",1
374,"Amethyst, copper",2
1217,"Amethyst, feldspar",1
812,"Amethyst, green faience",1
83,Anhydrite,14
1149,"Anhydrite, eyes inlaid with a porous material inside copper rims",1
1288,"Anhydrite, gold",1
681,"Animal remains, cartonnage, linen, paint",1
520,"Animal remains, linen",1
682,"Animal remains, linen, papyrus",1
137,"Antler, bone, paint",7
413,Aragonite,2
318,"Arsenical copper, surface enriched in arsenic",2
435,Baked clay,2
1195,"Baked mud
Papyrus, Parchment, Paper",1
103,Basalt,10
675,Basalt or graywacke,1
773,Basalt or metagraywacke,1
1221,"Basalt, bronze, remains of gold leaf",1
270,Basketry,3
70,Beryl,18
1030,"Beryl, gold",1
685,Bird bone,1
546,Black and red ink on Venetian paper,1
710,Black baked clay,1
1258,Black bronze,1
1111,"Black bronze with gold, silver, and copper inlays",1
1283,"Black bronze, gold inlay",1
1095,Black diorite,1
899,Black faience,1
273,Black glass,3
913,Black incised ware,1
1098,Black obsidian ball beads,1
1166,Black serpentinite,1
165,Black steatite,5
202,Black stone,4
441,"Black, white and blue-green faience",2
168,"Black, white and green faience",5
839,Blackened Ivory,1
538,Blackened limestone,1
114,Blue Faience,9
666,Blue Glass,1
400,Blue and black faience,2
437,"Blue and black faience, carnelian",2
761,"Blue and green faience
Light blue faience",1
838,Blue and violet faience,1
260,Blue and yellow faience,3
465,Blue black glass,1
821,Blue composition,1
29,Blue faience,85
1120,"Blue faience, beryl, carnelian, hematite",1
434,"Blue faience, carnelian",2
253,"Blue faience, paint",3
835,"Blue faience, pigment",1
290,Blue glass,3
819,Blue glazed faience,1
45,Blue glazed steatite,39
971,Blue green glazed faience,1
292,Blue marble,3
127,Blue paste,7
288,Blue steatite,3
493,Blue stone,1
579,"Blue, green faience",1
721,"Blue, yellow faience",1
552,Blue-green faience,1
842,Blue-green glazed steatite,1
26,Bone,99
309,Bone or ivory,2
1010,"Bone, organic material",1
809,"Bone, serpentinite, shell",1
444,Boxwood,2
1225,"Boxwood, cypress, ebony, linen cord",1
102,Brass,10
656,Brass inlaid with silver,1
553,Brass with silver inlay,1
88,Bread,13
221,Breccia,4
151,Bright blue faience,6
61,Bright blue glazed steatite,20
846,Bright blue stone,1
868,Bright green faience,1
198,Bright green glazed steatite,4
140,Brigth blue glazed steatite,6
869,Brigth green faience,1
19,Bronze,169
1206,Bronze and iron,1
23,Bronze or copper alloy,123
445,"Bronze or copper alloy, boxwood",2
635,"Bronze or copper alloy, gesso",1
1164,"Bronze or copper alloy, glazed steatite",1
231,"Bronze or copper alloy, gold foil",4
1126,"Bronze or copper alloy, gold inlay",1
1321,"Bronze or copper alloy, green glass, blue glass",1
422,"Bronze or copper alloy, ivory",2
1274,"Bronze or copper alloy, ivory, silver",1
1153,"Bronze or copper alloy, modern wood",1
286,"Bronze or copper alloy, steatite",3
739,"Bronze or copper alloy, stone, ivory, wood",1
191,"Bronze or copper alloy, wood",4
1357,"Bronze or copper alloy, wood , modern rawhide",1
1004,"Bronze or copper alloy, wood, gold leaf",1
731,"Bronze or copper alloy, wood, leather",1
779,"Bronze or copper alloy, wood, reed",1
69,Bronze or cupreous alloy,18
719,"Bronze or cupreous alloy, vitreous inlay",1
427,Bronze or possibly copper alloy,2
650,Bronze with green patina,1
490,"Bronze, arsenical copper, gold sheet",1
1131,"Bronze, gilded silver, electrum",1
449,"Bronze, glass",2
1276,"Bronze, glass, gold",1
1280,"Bronze, gold foil over gesso",1
788,"Bronze, gold leaf, glass",1
686,"Bronze, inlay",1
320,"Bronze, precious metal inlay",2
1090,"Bronze, precious metal inlay and leaf",1
1277,"Bronze, restored shaft and lashing",1
994,"Bronze, separate silver lotus, wood base with pigmented inlays",1
603,"Bronze, silver",1
648,"Bronze, traces of natural green patina",1
421,"Bronze, wood",2
693,Brown and white glass,1
341,Brown glazed steatite,2
665,Brown jasper,1
992,"Brown limestone, Indurated",1
488,Brown pottery,1
824,Brown steatite,1
1302,"Brown stone 
""quartzwacke""",1
932,Brown ware pottery,1
1009,Burned Grain,1
688,"Cake of dates, raisins",1
970,Calcite,1
35,Carnelian,67
750,Carnelian and linen thread,1
229,Carnelian or red jasper,4
342,"Carnelian, amethyst, garnet, hematite",2
806,"Carnelian, amethyst, hematite, garnet",1
808,"Carnelian, beryl, steatite",1
1102,"Carnelian, faience, cupreous metal",1
510,"Carnelian, feldspar, blue paste",1
1110,"Carnelian, garnet, green feldspar, amethyst, green jasper, black and white mottled stone",1
1016,"Carnelian, garnet, quartz, glazed steatite",1
1336,"Carnelian, glass, silver, rock crystal",1
372,"Carnelian, gold",2
1138,"Carnelian, gold, silver, faience, glass, yellow stone, tin",1
919,"Carnelian, lapis lazuli",1
1045,"Carnelian, linen thread",1
1036,"Carnelian, moss agate, milky quartz, amethyst, glazed steatite, black and white porphyry, linen cord",1
940,"Carnelian, paste, white stone, restored bronze",1
1339,"Carnelian, twisted linen cord and original string",1
817,Carrara Marble,1
755,Cartonnage,1
947,"Cartonnage, gesso, paint, gold, copper alloy, faience",1
1065,"Cartonnage, gold, travertine , obsidian, ebony",1
367,"Cartonnage, paint",2
873,"Cartonnage, paint, gold leaf",1
1046,"Cartonnage, wood, paint, gold foil",1
1233,Cedar,1
1200,"Cedar wood, plaster, paint",1
933,"Cedar, gold, paint",1
1341,"Cedar, ink",1
1316,"Cedar, paint, Egyptian blue",1
1082,"Cedar, plaster, paint, linen",1
745,"Cedar, with ebony and ivory veneer and silver mounting",1
1232,"Cedar, with ebony and ivory veneer and silver mounts",1
1342,"Ceramic, glaze",1
223,Chalcedony,4
766,Charcoal,1
371,Chert,2
1184,Chlorite,1
188,Chlorite schist,4
9,Clay,495
1008,"Clay , Carnelian",1
1001,"Clay , paint",1
353,Clay or mud,2
792,"Clay, bone",1
1295,"Clay, buff pottery",1
795,"Clay, faience",1
524,"Clay, linen",1
125,"Clay, mud",8
961,"Clay, twigs",1
494,Clear glass,1
957,Coarse light red pottery,1
956,Coarse red pottery with hematite wash,1
1296,"Coffin: cedar, paint, gold leaf",1
515,Coiled Basketry,1
694,Coiled basketry,1
433,Conifer,2
1007,"Coniferous wood , black paint",1
1055,"Coniferous wood , paint",1
373,"Coniferous wood , plaster",2
508,"Coniferous wood, paint",1
1080,"Coniferous wood, paint, iron bolts, brass straps",1
82,Copper,15
106,Copper Alloy,10
39,Copper alloy,58
1074,Copper alloy with traces of gilding,1
935,"Copper alloy, Wood, leather",1
641,"Copper alloy, gold",1
673,"Copper alloy, inlay",1
1085,"Copper alloy, stone",1
1226,"Copper alloy, wood",1
480,Copper or bronze,1
187,"Copper, wood",4
81,"Copper, wood, animal hide",15
104,Cotton,10
129,Cotton and silk,7
414,"Cotton, metal wrapped thread",2
64,"Cotton, plain weave",19
463,"Cotton, silk",1
1075,"Cow hide, calf skin, stained red",1
325,Cowrie shell,2
853,"Cowrie shells, fiber",1
1125,Cream-white glazed steatite,1
438,Crystalline and banded travertine,2
718,Crystalline stone,1
1287,"Crystalline travertine jar, limestone lid",1
161,Cupreous alloy,5
787,"Cupreous alloy, gold leaf, formerly inlaid",1
16,Cupreous metal,183
1325,"Cupreous metal, animal remains",1
1262,"Cupreous metal, carnelian",1
307,"Cupreous metal, glass",3
485,"Cupreous metal, glass or stone inlay, wood",1
1214,"Cupreous metal, gold inlay",1
963,"Cupreous metal, gold leaf",1
633,"Cupreous metal, precious metal",1
97,"Cupreous metal, precious metal inlay",11
317,"Cupreous metal, precious metal leaf",2
651,"Cupreous metal, precious metal, vitreous inlay",1
551,"Cupreous metal, traces of gold leaf",1
1087,"Cupreous metal, wood",1
653,"Cupreous metal, wood, stone",1
1078,"Cypress, boxwood",1
347,Dark Green Stone,2
282,Dark blue faience,3
1050,Dark blue glassy faience,1
418,Dark blue glazed faience,2
459,Dark brown stone,1
241,Dark green glazed steatite,3
1003,Dark green jasper,1
301,Dark green stone,3
242,Dark stone,3
556,Dark violet and white faience,1
48,Diorite,35
610,Diorite or gabbro,1
1252,Diorite or granodiorite,1
1290,"Diorite, gold leaf",1
972,Dioritic gneiss,1
460,Dioritic stone,1
1056,Disk: silver,1
939,Dolerite,1
1303,Dolomitic limestone,1
999,"Dried Mud, mud plaster, paint, gesso",1
211,"Dyed and undyed linen, animal remains, mummification materials",4
643,"Dyed and unyed linen, animal remains, mummfication materials",1
658,"Dyed linen, animal remains, mummification materials",1
475,Earhenware,1
6,Earthenware,512
417,Eartheware,2
516,Eathenware,1
261,Ebony,3
1367,Ebony and ivory,1
1026,"Ebony, inlaid with ivory and red wood , gold trim",1
442,"Ebony, ivory",2
897,"Ebony, ivory adhesive on back",1
1053,"Ebony, ivory, gold, carnelian, blue faience, silver",1
440,"Ebony, yellow paste",2
696,Egg shell,1
399,Egyptian Blue,2
499,"Egyptian Blue , gold",1
66,Egyptian blue,19
987,"Egyptian blue, gold",1
699,"Egyptian blue, gold leaf",1
122,Electrum,8
983,Electrum over plaster,1
986,"Electrum over plaster, carnelian, amethyst",1
740,"Electrum, carnelian, amethyst, lapis lazuli, turquoise",1
664,"Electrum, carnelian, lapis lazuli, turquoise",1
663,"Electrum, plaster",1
1067,Elephant ivory,1
526,"Elephant ivory, blue pigment",1
189,Encaustic on limewood,4
324,Encaustic on limewood with gold leaf,2
1347,Encaustic on wood,1
1275,Encaustic on wood with gold leaf,1
1245,Eroded and light limestone,1
1035,"European white birch , horn",1
811,"Facsimile by Charles K. Wilkinson
Tempera on paper",1
402,Faded blue faience,2
949,Faded faience,1
0,Faience,2079
1157,"Faience inlay, modern wood",1
354,"Faience, Blue",2
308,"Faience, Blue, green",3
1109,"Faience, Blue-green glaze",1
73,"Faience, Paste",16
953,"Faience, Paste, paint",1
592,"Faience, Prussian blue",1
388,"Faience, Yellow and violet",2
1044,"Faience, alabaster, linen string",1
464,"Faience, ancient thread",1
928,"Faience, anhydrite
Blue faience beads",1
183,"Faience, apple green",5
900,"Faience, aragonite",1
638,"Faience, black glaze",1
59,"Faience, blue",23
397,"Faience, blue and green",2
217,"Faience, blue glaze",4
906,"Faience, blue glazed",1
1097,"Faience, blue green and black",1
531,"Faience, blue, black",1
216,"Faience, blue, green",4
315,"Faience, blue-green glaze",2
478,"Faience, bronze or copper alloy",1
998,"Faience, bronze or copper alloy, glass, agate, carnelian, lapis lazuli, turquoise",1
878,"Faience, carnelian",1
1361,"Faience, carnelian, glass",1
807,"Faience, carnelian, lapis lazuli, amethyst, stone, shell, pottery",1
631,"Faience, copper wire",1
390,"Faience, dark blue",2
883,"Faience, dark green",1
564,"Faience, deep brown",1
724,"Faience, gilding",1
1132,"Faience, glass",1
395,"Faience, glazed steatite",2
153,"Faience, gold",6
1328,"Faience, gold, carnelian, turquoise.
Falcon heads and leaf pendants originally gilded plaster, restored in gilded silver. Eyes originally gilded beads restored in gilded plaster.",1
337,"Faience, green",2
854,"Faience, green glaze",1
612,"Faience, hematite, wood",1
532,"Faience, inlay",1
1150,"Faience, linen",1
218,"Faience, linen cord",4
142,"Faience, linen thread",6
496,"Faience, linen thread
Cord or Thread",1
387,"Faience, modern plaster and gold paint",2
572,"Faience, modern plaster, gold paint",1
936,"Faience, modern wood",1
791,"Faience, mortar",1
67,"Faience, paint",19
1113,"Faience, painted white",1
331,"Faience, pale blue",2
608,"Faience, pale violet",1
