,Unique Values,Count
1968,"""New Year's Bottle"" with cow goddess Nebethetepet",1
2889,", uninscribed scarab",1
2958,11 spacers,1
4774,Abdominal Prop,1
2451,Abstracted human figure,1
132,Adze,10
3296,Adze blade,1
3440,"Adze, carpenter, Hatshepsut, Maatkare",1
2103,"Adze, meskhetyu, Hatshepsut",1
943,"Adze, model, tool, Senenmut",2
4241,Akhenaten body with garment,1
4464,"Akhenaten chest or abdomen, Aten cartouches",1
4251,"Akhenaten chest, Aten cartouches",1
4153,Akhenaten nose and lips,1
4377,Akhenaten or Nefertiti big toe of prostrate foot,1
4415,Akhenaten or Nefertiti exposed sole of foot,1
4397,Akhenaten or Nefertiti prostrate foot,1
1019,"Akhenaten or Nefertiti prostrate, foot",2
4361,"Akhenaten or Nefertiti prostrate, foot, leg",1
4433,"Akhenaten or Nefertiti prostrate, heel in sandal",1
4399,"Akhenaten or Nefertiti prostrate, right foot and leg",1
4254,"Akhenaten or Nefertiti, mouth",1
4401,"Akhenaten or Nefertiti, shoulder, Aten cartouches",1
4226,"Akhenaten prenomen, basin or vessel rim",1
923,"Akhenaten prostrate , belt, Aten cartouche",2
4400,"Akhenaten prostrate , chest",1
4402,"Akhenaten prostrate, left chest, Aten cartouches",1
904,"Akhenaten prostrate, right chest, Aten cartouches",2
4239,Akhenaten shoulder,1
4130,"Akhenaten torso, Aten cartouches",1
4244,"Akhenaten, Blue Crown",1
4441,"Akhenaten, Nefertiti, Aten cartouches",1
4222,"Amarna Fragment, crown with discs, two adjoining surfaces",1
4190,"Amphora, ibex, blue-painted ware",1
4390,"Amphora, two handled",1
5056,"Amphoriskos, three handles",1
63,Amulet,19
1892,"Amulet depicting Isis, Horus, and Nephthys",1
1504,"Amulet fragments, from rectangular wedjat eyes",1
4696,"Amulet group, Isis, Horus, Nephthys",1
1058,"Amulet group, Nephthys, Horus, Isis",2
3814,"Amulet of Isis nursing Horus, figure",1
2279,Amulet pendant,1
4685,"Amulet plaque, Harpokrates, Re-Harakhty, Ptah",1
4905,"Amulet plaque, Nebmaatre, serpent goddesses",1
2494,"Amulet plaque, Ptah, Sakhmet",1
4778,"Amulet plaque, Wedjat eye, Gautsoshen",1
4777,"Amulet plaque, Wedjat eye, Tiye",1
2138,Amulet string,1
1496,"Amulet string, wedjat eyes",1
1508,"Amulet, Aegis of Bastet or Sakhmet",1
787,"Amulet, Aegis of Isis",2
4610,"Amulet, Aegis of Sakhmet or Bastet",1
2472,"Amulet, Aegis, Bastet",1
5116,"Amulet, Aegis, Bastet, Sakhmet",1
4674,"Amulet, Aegis, Sakhmet",1
4833,"Amulet, Aegis, Sakhmet, Bastet",1
4572,"Amulet, Aegis, female goddess",1
4518,"Amulet, Amenhotep III cartouche",1
4549,"Amulet, Amenhotep III, Nebmaatre",1
4859,"Amulet, Ankh, Thutmose IV",1
848,"Amulet, Anubis",2
3076,"Amulet, Anubis head",1
2459,"Amulet, Anubis, bier",1
4677,"Amulet, Apis bull head",1
2068,"Amulet, Ba bird",1
2430,"Amulet, Ba-bird",1
860,"Amulet, Baboon",2
5084,"Amulet, Baboon, Thoth",1
4667,"Amulet, Baboon, basket, pillar, shebet",1
3552,"Amulet, Baboon, wedjat eye",1
1898,"Amulet, Banebdjed",1
3547,"Amulet, Bastet seated, openwork base",1
1886,"Amulet, Bastet, sistrum",1
68,"Amulet, Bes",18
5118,"Amulet, Bes head",1
3053,"Amulet, Bes, lyre",1
1441,"Amulet, Bes, plaque",1
2280,"Amulet, Bes, ram",1
2281,"Amulet, Bes, tambourine",1
4800,"Amulet, Bes-Image",1
4547,"Amulet, Bes-image",1
3522,"Amulet, Bull",1
362,"Amulet, Butterfly",4
1150,"Amulet, Cat",2
4675,"Amulet, Cat with kittens",1
881,"Amulet, Cat, kittens",2
3332,"Amulet, Cippus, profile Horus",1
859,"Amulet, Cobra",2
3426,"Amulet, Crocodile",1
3330,"Amulet, Crown of Lower Egypt",1
106,"Amulet, Djed pillar",12
4634,"Amulet, Djedmutesankh, Thoth",1
2804,"Amulet, Djedmutesankh, djed pillar",1
4636,"Amulet, Djedmutesankh, ib , djed pillar, cobra, vulture",1
2797,"Amulet, Djedmutesankh, wedjat eye",1
847,"Amulet, Dog",2
614,"Amulet, Dragonfly",3
2361,"Amulet, Duamutef",1
867,"Amulet, Duckling",2
4554,"Amulet, Establish, mn",1
3077,"Amulet, Face",1
286,"Amulet, Falcon",5
