,Unique Values,Count
123,Byzantine Period or later,1
125,Byzantine or Islamic Period,1
178,Byzantine-Islamic Period,1
74,Coptic Period,3
83,Date being researched,3
116,Dynasty 30-Ptolemaic Period,1
189,Dynasty 30-early Ptolemaic Period,1
13,Early Dynastic Period,173
48,Early Dynastic Period-Old Kingdom,6
39,Early New Kingdom,9
120,Early New Kingdom-Ramesside Period,1
72,Early Ptolemaic Period,3
37,First Intermediate Period,10
84,First Intermediate Period-Middle Kingdom,3
62,First Intermediate Period-early Middle Kingdom,4
27,Islamic Period,20
180,"Islamic Period, perhaps",1
104,Kushite Period-Late Period,2
95,Kushite Period-Saite Period,2
192,Late Antique,1
134,Late Dynastic - Ptolemaic Period,1
23,Late Middle Kingdom,54
168,Late Middle Kingdom - early Second Intermediate Period,1
52,"Late Middle Kingdom or New Kingdom, Ramesside",5
165,Late Middle Kingdom or Second Intermediate Period,1
151,Late Middle Kingdom or early Second Intermediate Period,1
90,Late Middle Kingdom or early second Intermediate Period,2
22,Late Middle Kingdom-Early New Kingdom,57
20,Late Middle Kingdom-Second Intermediate Period,82
147,Late Naqada I-Early Naqada II,1
174,Late Naqada II,1
148,Late Naqada II-possibly early Naqada III,1
199,Late Naqada III or early Dynasty 1,1
175,Late Naqada l-Early Naqada II,1
64,Late New Kingdom,4
124,Late New Kingdom - Late Period,1
113,Late New Kingdom or early Third Intermediate Period,1
179,Late New Kingdom or later,1
161,Late New Kingdom to early Third Intermediate Period,1
184,"Late New Kingdom, Ramesside",1
92,Late New Kingdom-Early Third Intermediate Period,2
172,Late New Kingdom-early Third Intermediate Period,1
59,Late Old Kingdom,4
77,Late Old Kingdom-First Intermediate Period,3
6,Late Period,463
171,Late Period  - Ptolemaic Period,1
170,Late Period  or later,1
93,Late Period - Ptolemaic Period,2
70,Late Period - Roman Period,3
58,Late Period -Ptolemaic Period,4
155,Late Period and Modern,1
197,Late Period or Early Ptolemaic Period,1
45,Late Period or Ptolemaic Period,6
98,Late Period or later,2
121,Late Period to Ptolemaic Period,1
108,Late Period to early Ptolemaic Period,1
158,"Late Period, Kushite or later",1
71,"Late Period, Kushite-Saite",3
186,"Late Period, Kushite-early Saite",1
41,"Late Period, Persian Period",7
8,"Late Period, Saite",333
115,"Late Period, Saite or Persian",1
106,"Late Period, Saite or later",1
183,Late Period-Early Ptolemaic Period,1
54,Late Period-Ptolemaic,4
112,Late Period-Ptolemaic  Period,1
5,Late Period-Ptolemaic Period,504
38,Late Period-Roman Period,10
135,Late Period-early Ptolemaic,1
130,Late Period: Persian,1
118,Late Ptolemaic Period-early Roman Period,1
167,Late Second Intermediate Period,1
78,Late Second Intermediate Period-Early New Kingdom,3
140,Late Second Intermediate Period-early New Kingdom,1
28,Lower Paleolithic Period,20
152,Macedonian or Ptolemaic Period,1
181,Macedonian-Ptolemaic Period,1
2,Middle Kingdom,2336
82,Middle Kingdom or Second Intermediate Period,3
150,Middle Kingdom or later,1
119,Middle Kingdom to Second Intermediate Period,1
15,Middle Kingdom-Early New Kingdom,134
88,Middle Kingdom-New Kingdom,2
21,Middle Kingdom-Second Intermediate Period,62
80,Middle Kingdom-early New Kingdom,3
60,Middle Paleolithic,4
46,Middle Paleolithic Period,6
139,Modern,1
200,Naqada II,1
164,Naqada III-Dynasty 1,1
202,Naqada IIc-d1,1
101,Neolithic,2
76,Neolithic Period,3
44,"Neolithic Period, Buto-Merimda-Maadi",6
149,Neolithic Period-Predynastic Period,1
141,Neolithic or later,1
63,Neolithic-Predynastic Period,4
132,New KIngdom,1
1,New Kingdom,3210
163,New Kingdom - Third Intermediate Period,1
91,New Kingdom or early Third Intermediate Period,2
69,New Kingdom or later,3
122,New Kingdom to 3rd Intermediate Period,1
126,New Kingdom to Late Period,1
117,New Kingdom to Third Intermediate Period,1
7,"New Kingdom, Amarna Period",448
111,"New Kingdom, Amarna Period - post-Amarna Period",1
4,"New Kingdom, Ramesside",669
102,"New Kingdom, Ramesside or Third Intermediate Period",2
97,"New Kingdom, Ramesside or later",2
73,"New Kingdom, Ramesside, later than",3
129,"New Kingdom, Ramesside, probably later",1
33,"New Kingdom, Ramesside-Late Period",13
49,"New Kingdom, Ramesside-Third Intermediate Period",5
196,"New Kingdom, early",1
195,"New Kingdom, late",1
177,"New Kingdom, possibly",1
187,"New Kingdom, post-Amarna Period",1
68,New Kingdom-Late Period,3
50,New Kingdom-Ptolemaic,5
162,New Kingdom-Ptolemaic Period,1
43,New Kingdom-Third Intermediate Period,7
14,Old Kingdom,151
26,Old Kingdom-First Intermediate Period,24
133,Old Kingdom-Middle Kingdom,1
138,Old Syrian Period,1
35,Paleolithic to Neolithic,12
127,Persian Period to Late Period,1
11,Predynastic Period,183
142,Predynastic Period-Dynasty I,1
32,Predynastic Period-Old Kingdom,14
36,"Predynastic, Badarian",11
87,"Predynastic, Late Naqada I-Early Naqada II",2
160,"Predynastic, Late Naqada II",1
40,"Predynastic, Late Naqada III",8
42,"Predynastic, Late Naqada III-Early Dynastic Period",7
173,"Predynastic, Late Naqada l- Early Naqada II",1
190,"Predynastic, Late Naqada l-Early Naqada II",1
29,"Predynastic, Late Naqada l-Naqada II",15
56,"Predynastic, Naqada I",4
146,"Predynastic, Naqada I-early Naqada II",1
25,"Predynastic, Naqada II",43
166,"Predynastic, Naqada II-Early Dynastic Period",1
47,"Predynastic, Naqada II-Naqada III",6
31,"Predynastic, Naqada III",14
159,"Predynastic, Naqada III-Dynasty 1",1
198,"Predynastic, Naqada III-Early Dynastic Period",1
136,"Predynastic, Naqada IIc-d2",1
143,"Predynastic, Naqada l-Naqada II",1
99,"Predynastic, early Naqada II",2
201,"Predynastic, late Naqada I-early Naqada II",1
75,Predynastic-Early Dynastic,3
109,Probably Late Period,1
34,"Probably New Kingdom, Ramesside-Third Intermediate Period",12
94,Probably Third Intermediate Period,2
131,Ptolemaic,1
114,Ptolemaic  Period,1
10,Ptolemaic Period,258
110,Ptolemaic Period - early Roman Period,1
55,Ptolemaic Period or Roman Period,4
156,Ptolemaic Period or later,1
153,Ptolemaic Period to Roman Period,1
182,"Ptolemaic Period, early",1
16,Ptolemaic Period-Roman Period,111
18,Ptolemaic or Roman Period,97
57,Ptolemaic-Byzantine Period,4
86,Ptolemaic-Early Roman Period,3
128,Ptolemaic-Roman,1
67,Ptolemaic-Roman Period,3
154,Ptolemaicâ€’Roman Period,1
203,Ramesside,1
79,Ramesside Period,3
188,Ramesside-Late Period,1
9,Roman Period,296
145,Roman Period and Islamic Period,1
103,Roman Period and later,2
30,Roman Period or later,15
194,"Roman Period, Augustus",1
193,"Roman Period, Trajan",1
65,Saite Period,4
19,Second Intermediate Period,84
12,Second Intermediate Period-Early New Kingdom,176
81,Second Intermediate Period-New Kingdom,3
66,Second Intermediate Period-early Dynasty 18,4
85,Second Intermediate Period-early New Kingdom,3
3,Third Intermediate Period,913
176,Third Intermediate Period - Late Period,1
169,Third Intermediate Period or Saite Period,1
89,Third Intermediate Period or earlier,2
24,Third Intermediate Period or later,47
157,"Third Intermediate Period, Kushite",1
107,"Third Intermediate Period, possibly earlier",1
96,Third Intermediate Period-Islamic Period,2
51,Third Intermediate Period-Kushite Period,5
185,Third Intermediate Period-Kushite Period or later,1
17,Third Intermediate Period-Late Period,111
61,Third Intermediate Period-Ptolemaic Period,4
53,Third Intermediate Period-Saite Period,5
191,Third Intermediate Period-early Dynasty 26,1
105,Third Intermediate PeriodLate Period,1
137,Uncertain,1
100,Unknown,2
144,Upper Paleolithic Period,1
0,unknown,3371
