,Unique Values,Count
16,1st Cataract,2
15,Alexandria Region,4
11,Central Delta,23
5,Eastern Delta,97
18,Eastern Delta or Levant,1
10,Fayum,28
6,Fayum Entrance Area,85
23,Fayum entrance area,1
20,Kharga Oasis,1
9,Kush,38
12,Lower Egypt,15
19,Lower Egypt: Eastern Delta,1
2,Memphite Region,2103
3,Middle Egypt,544
4,Northern Upper Egypt,266
21,Nubia,1
24,Originally from Memphite Region,1
17,Sinai,2
8,Southern Upper Egypt,71
14,Upper Egypt,6
1,"Upper Egypt, Thebes",5407
13,Western Delta,9
7,Western Desert,77
22,probably Nubia,1
0,unknown,6112
