,Unique Values,Count
61,Amasis,4
98,Amenemhat II and later,2
174,"Amenemhat II, late",1
166,Amenhotep II,1
50,Amenhotep III,7
202,Amenhotep III-Akhenaten,1
154,Amenhotep III-Ramesses II,1
164,Before the reign of Amenhotep III,1
160,Den,1
64,Haremhab or later,4
73,Joint Reign of Hatshepsut and Thutmose III,3
2,Joint reign of Hatshepsut and Thutmose III,729
238,Later reign of Pepi II at earliest,1
78,Pepi II at earliest,3
153,Philadelphos,1
15,Possibly Senwosret I,48
158,Psamtik I,1
159,Ptolemy III and Berenike II,1
108,Ramesses II,2
225,Ramesses II or later,1
28,Ramesses II or slightly later,18
258,Reign of Akhenaten,1
180,Reign of Amenemhat II,1
255,Reign of Amenhotep I,1
170,Reign of Amenhotep II-Amenhotep III,1
68,Reign of Amenhotep III probably,4
172,Reign of Amenhotep III-Akhenaten,1
265,Reign of Amenhotep IV,1
260,Reign of Aya,1
123,Reign of High Priest Painedjem II,1
252,"Reign of Mentuhotep II, early",1
148,Reign of Pepi II,1
75,Reign of Ramesses II,3
163,"Reign of Ramesses II, year 21",1
240,Reign of Ramesses IV,1
263,Reign of Senwosret I,1
250,Reign of Seti II,1
87,Reign of Thutmose I,2
84,Reign of Thutmose III,2
171,Reign of Thutmose III-Amenhotep II,1
155,Reign of Tutankhamun,1
200,Reigns of Amenhotep II-Thutmose IV,1
157,Reigns of Psamtik I or Apries,1
253,Seankhkare Mentuhotep III,1
111,Senwosret I to Senwosret II,2
244,"Tanwetamani, at a minimum",1
136,Thutmose II-Thutmose IV,1
103,Thutmose III,2
243,Thutmose IV,1
19,early reign of Amenemhat I,38
52,early reign of Mentuhotep II,6
63,early reign of Senwosret I,4
36,joint reign of Hatshepsut and Thutmose III,11
88,late reign of Mentuhotep II,2
92,late reign of Mentuhotep II or later,2
138,later reign of Amenhotep II-mid-reign of  Amenhotep III,1
116,later reign of Mentuhotep II,2
81,later reign of Pepi II at earliest,3
262,later reign of Senwosret I-early Amenemhat II,1
