,Unique Values,Count
29,Abadiya,19
62,Abadiya or Hiw,3
97,Abu Rawash,1
110,Abusir,1
10,Abydos,184
106,Akhmim,1
58,Alexandria,4
7,Amarna,401
66,Amra,2
4,Asasif,674
24,"Asasif, Birabi",27
93,"Asasif, East of Pabasa",1
22,Asyut,35
68,Behbeit el-Hagar,2
31,Beledeh District,17
37,Beni Hasan,10
91,Cusae,1
54,Deir Rifa,5
1,Deir el-Bahri,2088
82,Deir el-Bahri & el- Asasif,1
40,"Deir el-Bahri, Cemetery 100",9
60,"Deir el-Bahri, Cemetery 500",4
50,"Deir el-Bahri, Cemetery 600",6
44,"Deir el-Bahri, west of Priests' Cemetery",8
21,Deir el-Medina,41
32,Dendera,16
98,Dendur,1
80,Dishasha,1
13,Dra Abu el-Naga,72
77,"Edfu, by inscription",1
86,Elephantine,1
75,Elkab,1
84,Gebelein,1
41,Giza,9
47,Haraga,7
73,Hawara,2
90,Heliopolis,1
71,Herakleopolis,2
72,Hiba,2
25,Hibis,27
15,Hierakonpolis,67
52,Hiw,5
30,Karnak,17
14,Khokha,67
18,Lahun,45
2,Lisht North,1337
5,Lisht South,591
63,Lower Asasif,3
103,"Lower Asasif, Birabi",1
61,Luxor,3
105,Maghagha,1
46,Mahasna,8
3,Malqata,948
104,Manfalut,1
33,Matmar,13
34,Medinet Habu,12
49,Meidum,6
19,Meir,44
35,Memphis,12
76,Memphite Necropolis,1
42,Merimda Beni Salama,8
39,Nag el-Deir,9
55,Naqada,5
51,North Saqqara,5
101,Old Cairo,1
16,Oxyrhynchus,53
70,Philae,2
17,Qantir,52
88,Qau District,1
94,Qena area,1
57,Qift,4
99,"Qift, Birba",1
87,Qurnet Murai,1
48,Ramesseum Area,7
92,Reqaqna,1
102,Rizeiqat,1
36,Royal Cache Valley,12
107,Saft el-Hina,1
111,Sakhebu,1
65,Samayna,3
11,Saqqara,152
109,Sebennytos,1
69,Serabit el-Khadim,2
83,Sheikh Abd el Qurna,1
79,Sheikh Abd el-Qurha,1
6,Sheikh Abd el-Qurna,411
95,Sheikh abd el-Qurna,1
89,Sidmant el-Gebel,1
67,South Valleys,2
8,Southern Asasif,389
81,"Southern Asasif, unfinished Temple Area",1
38,"Southern Asasif, unfinished temple area",9
53,Tanis,5
26,Tarkhan,25
23,Tell Basta,31
28,Tell el-Balamun,20
108,Tuna el-Gebel,1
43,Unfinished Temple  Valley,8
9,Valley of the Kings,237
59,Valley of the Queens,4
85,"Valleys South of Deir el-Bahri, First Valley",1
74,Valleys south of Deir el-Bahri,2
100,"Valleys south of Deir el-Bahri, Valley of the Cachette",1
64,Wadi Gabbanat el-Qurud,3
12,"Wadi Gabbanat el-Qurud, Wadi D",89
27,West Valley of the Kings,25
56,camp II,5
45,el-Deir,8
78,el-Gheita,1
20,el-Khokha,42
96,el-Tarif probably,1
0,unknown,6648
