,Unique Values,Count
4128,"""Animals  Feeding Under Trees"", Folio Fragment from a Dispersed Manuscript",1
2571,"""Nub"" sign inlay",1
1190,"""Opening of the Mouth""  vessel of Perneb",2
1191,"""Opening of the Mouth"" vessel of Perneb",2
4129,"""Rooster"", Folio from a Dispersed Manuscript",1
4127,"""Rows of Animals Alternating with Cut-off Heads"", Folio from a Manuscript",1
4523,"""Sgraffito-ware"" Bowl",1
5940,"""Tell el-Yahudiya"" Vase in the Shape of a Duck",1
5846,"10 Amulets: 1 wedjat, 1 scarab, 3 djed pillars, 1 incised plaque, 1 uraeus, 2 wadj signs, and 1 cylindrical bead",1
2852,11 spacers,1
3744,126 beads from broad collars,1
5744,23 Plant Tubers,1
2953,3 tile fragments,1
1801,30 barrel beads in 2 rows,1
4933,6 arrows with stone tips,1
5190,A Mold for Metalwork Depicting a Bird,1
4469,A Necklace of four strands of beads and amulets,1
4493,A Royal Woman,1
5562,A Tusk Figurine of a Man,1
5586,A Woman and Her Child,1
5864,"A child god, probably Harpokrates",1
3310,"A fragment of a cubic unknown object, possibly a fragment of a rod",1
2755,A fragment of a magic wand illustrating a frog headed deity,1
2513,A group of stone vessels from a tomb at Haraga,1
2176,A hand from a coffin,1
1561,"A lion headed goddess, possibly Wadjet",1
2156,A modern pendant setting holding an inscribed scarab,1
3849,A pendant depicting a ba-bird with outstretched wings,1
2349,A plaque tied to a bracelet or ring with a cord,1
5066,A portion of a censer in the shape of a hand,1
5962,A shallow white cross-lined ware bowl illustrating a man on a boat alongside a hippo and crocodile,1
2974,A standing figure of a Bes-image,1
2105,"A swallow, a solar symbol, in an rectangular inlay",1
5845,Abdominal Prop,1
2581,Abstracted human figure,1
5528,Acacia Bead Girdle of Senebtisi,1
5535,Acacia beads from girdle,1
3949,Account of a Campaign of Thutmose I,1
3893,Accounts of workforce salaries,1
2348,Acute-angled core for blades,1
61,Administrative Seal,20
145,Adze,9
3859,Adze blade,1
1189,Aegis of Bastet,2
3736,Aegis of Isis,1
935,Aegis of Sakhmet or Bastet,2
1743,Aegis of a female goddess,1
4785,Akhenaten body with garment,1
4780,Akhenaten chest with Aten cartouches,1
4779,"Akhenaten head, Blue Crown",1
4783,Akhenaten shoulder,1
988,Alabastron,2
4714,Amduat Papyrus Inscribed for  Tiye,1
5761,Amenemhat's Razor,1
5759,Amenemhat's Razor-Knife,1
3553,Amenhotep III with nemes headdress,1
1206,Amphora,2
5366,Amphora of Canaanite shape,1
3633,Amphora-shaped perfume bottle,1
2239,Amphoriskos with molded design of Harpokrates and eagles,1
4172,Ampulla  of Saint Menas,1
4173,Ampulla  with Saint Menas,1
58,Amulet,22
5041,Amulet Depicting a Baboon Wearing a Lunar Disk and Uraeus,1
1242,Amulet Depicting the God Min,1
5064,Amulet Plaque with Figure of Thoth,1
4369,Amulet Possibly Depicting a Tree Frog,1
1014,"Amulet depicting Isis, Horus, and Nephthys",2
5266,Amulet depicting a ram-headed god,1
