,objectDate,locus,city,objectName,subregion,period,Path,title,dynasty,reign,classification,medium,region
0,664-30 B.C.,unknown,unknown,"Bastet, standing, aegis, basket",unknown,Late Period -Ptolemaic Period,329767.json,Bastet holding aegis and basket,Dynasty 26 or later,unknown,unknown,Cupreous metal,unknown
1,ca. 1850-1650 B.C.,unknown,unknown,Upper half of a woman from a pair or group statue,unknown,Late Middle Kingdom,329768.json,Upper half of a woman from a pair or group statue,Late Dynasty 12-13,unknown,unknown,Granite,unknown
2,ca. 664-525 B.C.,unknown,unknown,Head from a figure of Osiris,unknown,Late Period,329769.json,Head from a figure of Osiris,Dynasty 26,unknown,unknown,Graywacke,unknown
3,664-30 B.C.,unknown,unknown,"figure, Osiris",unknown,Late Period-Ptolemaic Period,329771.json,Figure of Osiris,unknown,unknown,unknown,Cupreous metal,unknown
4,ca. 1850-1650 B.C.,unknown,unknown,Head and chest of a shabti figure,unknown,Middle Kingdom,329774.json,Head and chest of a shabti figure,late Dynasty 12 to Dynasty 13,unknown,unknown,Steatite or serpentinite,unknown
5,ca. 1479-1352 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329782.json,Upper Part of a Jar in the Shape of a Womanâ€™s Head,Dynasty 18,reign of Thutmose III - Amenhotep III,unknown,"Pottery, paint",unknown
6,ca. 1850-1650 B.C.,unknown,unknown,Upper half of a woman from a pair or group statue,unknown,Late Middle Kingdom,329783.json,Upper half of a woman from a pair or group statue,Late Dynasty 12-13,unknown,unknown,Steatite or serpentinite,unknown
7,ca. 1550-664 B.C.,unknown,unknown,unknown,unknown,New Kingdom-Third Intermediate Period,329785.json,Two-Sided Plaque with Gazelles,unknown,unknown,unknown,Faience,unknown
8,ca. 1625-1500 B.C.,unknown,unknown,unknown,unknown,Second Intermediate Period-early Dynasty 18,329789.json,Head of a Man with a Round Wig,unknown,unknown,unknown,"Limestone, paint",unknown
9,ca. 980-930 B.C.,unknown,unknown,Shabti of Shedsuhori,unknown,Third Intermediate Period,329790.json,Shabti of Shedsuhori,Dynasty 21,pontificate of Painedjem II or Psusennes III,unknown,Faience,unknown
10,ca. 1200-1194 B.C.,unknown,unknown,"scarab, hieroglyphs, cartouche, Seti II",unknown,New Kingdom,329792.json,Scarab of Seti II,Dynasty 19,reign of Seti II,unknown,Faience,unknown
11,ca. 1295-1070 B.C.,unknown,unknown,"plaque, uraei, beetle, winged falcon-headed sun god",unknown,New Kingdom,329793.json,Plaque with winged Re-Harakhty,Dynasty 19-20,unknown,unknown,Glazed steatite,unknown
12,ca. 332-30 B.C.,unknown,unknown,"Amulet of Isis nursing Horus, figure",unknown,Ptolemaic Period,329796.json,Figure of Isis nursing Horus,unknown,unknown,unknown,Faience,unknown
13,ca. 1450-1400 B.C.,unknown,unknown,Head of a Shabti,unknown,New Kingdom,329799.json,"Head with tripartite wig, probably from a shabti",mid-Dynasty 18,unknown,unknown,Steatite or serpentinite,unknown
