,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
0,RC-1 - Sekhmet Statue,Egyptian,,332-30 BCE,Ptolemaic,Bronze,Sculpture,789.jpg
1,RC-2 - Harpocrates,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,931.jpg
2,RC-3 - Osiris,Egyptian,,332 - 31 BCE,Ptolemaic,Bronze,Sculpture,365.jpg
3,RC-4 - Khonsu,Egyptian,,332 - 30 BCE,Ptolemaic,Bronze,Sculpture,774.jpg
4,RC-5 - Apis Bull,Egyptian,,525 - 343 BCE,Late Period,Bronze,Sculpture,913.jpg
5,RC-6 - Bast Cat,Egyptian,,332-31 BCE,Ptolemaic,Bronze,Sculpture,932.jpg
6,RC-7 - Horus Hawk on Sarcophagus,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,399.jpg
7,RC-9 - Striding Young Horus,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Bronze,Sculpture,933.jpg
8,RC-10 - Uraeus,Egyptian,21-25th,1070-656 BCE,3rd Intermediate,Bronze,Sculpture,711.jpg
9,RC-12 - Isis Nursing Horus,Egyptian,,305 BCE - 323 CE,Ptolemaic To Roman,Marble,Sculpture,803.jpg
10,RC-14 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,763.jpg
11,RC-15 - Pitcher/ Vase,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Banded Calcite,Vessels,934.jpg
12,RC-16 - Mirror/ Dancing Girl Handle,Egyptian,18TH,1570-1293 BCE,New Kingdom,Bronze,Toiletries,715.jpg
13,RC-17 - Headrest,Egyptian,3 - 6TH,2705-2250 BCE,Old Kingdom,Wood,Furniture,72.jpg
14,RC-18 - Horus Hawk with Figure,Egyptian,,664 - 30 BCE,,Granite,Sculpture,756.jpg
15,RC-19 - Canopic Jar and Lid,Egyptian,18TH ?,1570 - 1293 BCE ?,New Kingdom ?,Limestone,Vessels,280.jpg
16,RC-22 - Mummy of a Child,Egyptian,,Roman Period,Roman Period,human mummy,Funerary,443.jpg
17,RC-26 - Kohl Jar,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Banded Calcite,Toiletries,421.jpg
18,RC-28 - Crocodile Lamp,Egyptian,,31 BCE - 395 CE,Ptolemaic-Roman,Bronze,Lamps,1031.jpg
19,RC-29 - Wadjet Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,456.jpg
20,RC-30 - Wadjet Amulet,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate,Faience,Amulets,404.jpg
21,RC-41 - Ankh Amulet,Egyptian,,332-31 BCE,Ptolemaic,Faience,Amulets,355.jpg
22,RC-42 - Ankh Amulet,Egyptian,,332-31 BCE,Ptolemaic,Faience,Amulets,632.jpg
23,RC-45 - Uatch Amulet,Egyptian,,305 - 30 BCE,Ptolemaic,Faience,Amulets,883.jpg
24,RC-46 - Uatch Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,376.jpg
25,RC-48 - Uatch Amulet,Egyptian,26TH ?,664  - 525 BCE ?,3rd Intermediate,Faience,Amulets,687.jpg
26,RC-49 - Uatch Amulet,Egyptian,,305 - 30 BCE ?,Ptolemaic ?,Faience,Amulets,462.jpg
27,RC-50 - Djed Amulet,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate ?,Faience,Amulets,853.jpg
28,RC-54 - Headrest Amulet,Egyptian,26TH TO ?,664 BCE - ?,3rd Intermediate,Hematite,Amulets,213.jpg
29,RC-57 - Frog Amulet,Egyptian,18 - 26TH,1570 - 525 BCE,New Kingdom - 3rd in,Stone,Amulets,140.jpg
30,RC-64 - Hathor Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,550.jpg
31,RC-65 - Khonsu Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,478.jpg
32,RC-66 - Seated Sekhmet Amulet,Egyptian,26TH TO ?,664 BCE TO ?,3rd Intermediate,Faience,Amulets,92.jpg
33,RC-68 - Ape Game Piece/ Amulet,Egyptian,18 - 30ST,1570 - 323 BCE,New Kingdom To Late,Limestone,Toys/Games,768.jpg
34,RC-69 - Horus Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Faience,Amulets,935.jpg
35,RC-70 - Seated Ptah,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Stone,Sculpture,782.jpg
36,RC-72 - Bast Cat,Egyptian,26TH-PTOLEMAIC,664-30 BCE,3rd Int. - Ptolemaic,Bronze,Sculpture,936.jpg
37,RC-73 - Priest Head,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Stone,Sculpture,937.jpg
38,RC-74 - Pharaoh Head,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Marble,Sculpture,829.jpg
39,RC-78 - Ring Mold,Egyptian,18TH,1550 BCE,New Kingdom,Terracotta,Tools,564.jpg
40,RC-79 - Ankh Mold,Egyptian,18TH ?,1570 - 1293 BCE,New Kingdom,Clay,Tools,905.jpg
41,RC-81 - Winged Heart Scarab,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Faience,Amulets,191.jpg
42,RC-82 - Winged Heart Scarab,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate,Faience,Amulets,268.jpg
43,RC-91 - Necklace/ Five Strand,Egyptian,27 - 31ST,525 BCE - 30 BCE,Late Period To Ptole,Faience,Jewelry,784.jpg
44,RC-95 - Necklace,Egyptian,12TH ?,1991-1784 BCE,Middle Kingdom,Faience,Jewelry,811.jpg
45,RC-96 - Cat,Egyptian,26TH,664 - 525 BCE,Saite,Wood,Sculpture,938.jpg
46,RC-97 - Stele,Egyptian,18TH,1501 - 1479 BCE,New Kingdom,Wood,Funerary,323.jpg
47,RC-98 - Bird Mummy with Cartonnage,Egyptian,,305 BCE - 323 CE,Ptolemaic-Roman,Animal Remains,Funerary,836.jpg
48,RC-100 - Hawk,Egyptian,,332 BCE - 395 CE,Ptolemaic To Roman,Wood,Sculpture,311.jpg
49,RC-101 - Mask,Egyptian,,332-31 BCE,Ptolemaic,Cartonnage,Funerary,512.jpg
50,RC-102 - Funerary mask from Sais,Egyptian,,Greco-Roman,Greco-Roman,Cartonnage,Funerary,205.jpg
51,RC-104 - Panel,Egyptian,26TH,685-525 BCE,Saite Period,Wood,Funerary,822.jpg
52,RC-105 - Kohl Jar,Egyptian,18TH ?,1570 - 1293 BCE,New Kingdom,Serpentine,Toiletries,222.jpg
53,RC-109 - Ptah,Egyptian,,664 - 525 BCE,,Bronze,Sculpture,85.jpg
54,RC-110 - Ointment Jar,Egyptian,,,,Banded Calcite,Toiletries,939.jpg
55,RC-111 - Hapi/ Son of Horus,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Wood,Sculpture,940.jpg
56,RC-112 - Sekhmet/ Upper Part,Egyptian,,332 BCE - 395 CE,Greco-Roman,Faience,Sculpture,797.jpg
57,RC-114 - Knife Blade,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Tools,446.jpg
58,RC-118 - Mummy Eye,Egyptian,27-31ST,525-332 BCE,Late Period,Glass,Funerary,602.jpg
59,RC-119 - Mehit Aegis,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,597.jpg
60,RC-120 - Min Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Bronze,Amulets,543.jpg
61,RC-121 - Mirror/Without Handle,Egyptian,,1570 - 1070 BCE,New Kingdom,Bronze,Toiletries,846.jpg
62,RC-122 - Sandal/Left,Egyptian,27 - 31ST,525 - 404 BCE,Late Period,Reed,Toiletries,220.jpg
63,RC-123 - Ba,Egyptian,,30 BCE - 395 CE,,Wood,Sculpture,405.jpg
64,RC-124 - Anubis Jackal,Egyptian,,305 - 30 BCE,Late Period,Wood,Sculpture,375.jpg
65,RC-126 - Shawabti,Egyptian,20TH,1185 - 1070 BCE,New Kingdom,Terracotta,Ritual Objects,144.jpg
66,RC-127 - Faience Shabti,Egyptian,20TH,Dynasty 20,New Kingdom,Faience,Ritual Objects,382.jpg
67,RC-129 - Shawabti,Egyptian,26TH,686 - 525 BCE,Saite Period,Faience,Ritual Objects,941.jpg
68,RC-130 - Shawabti,Egyptian,26TH,686 - 525 BCE,Saite Period,Faience,Ritual Objects,942.jpg
69,RC-132 - Knife,Egyptian,,"10,000 BCE - 4800 BCE",Neolithic*,Rhyolite,Tools,764.jpg
70,RC-137 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,690.jpg
71,RC-138 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,27.jpg
72,RC-146 - Flint Implement,Egyptian,,6500 - 4500 BCE,Late Paleolithic,Jasper,Tools,510.jpg
